Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,7.04,7.04,2.4,21.65,0.61,0,5.94
1,28.42,28.42,2.38,31.61,0.51,0,5.98
2,13.67,13.67,2.39,74.25,0.57,0,6.0
3,14.09,14.09,2.38,13.68,0.48,0,5.86
4,41.67,41.67,2.38,51.41,0.39,-36.53,26.02
5,23.29,22.71,2.4,74.13,0.54,0,5.98
6,19.74,19.74,2.38,29.94,0.5,0,5.95
7,23.99,23.99,2.38,60.78,0.4,-51.6,28.67
8,25.39,25.39,2.38,97.68,0.41,0,5.95
9,6.39,6.39,2.37,76.13,0.36,0,6.03
10,32.71,32.71,2.4,61.01,0.47,0,6.0
11,30.53,30.53,2.4,31.0,0.28,-147.13,54.62
12,8.33,8.33,2.36,8.02,0.41,0,5.94
13,10.54,10.54,2.36,82.78,0.66,0,5.98
14,10.47,10.19,2.37,98.56,0.58,0,5.96
15,39.54,39.54,2.37,46.96,0.57,-35.61,30.99
16,34.16,34.16,2.38,90.33,0.8,0,5.43
17,31.35,31.35,2.38,5.15,0.57,-196.75,63.87
18,24.83,24.22,2.4,50.19,0.44,0,5.96
19,9.1,9.1,2.4,72.73,0.46,0,5.98
20,33.7,33.7,2.4,18.26,0.35,-136.33,53.62
21,35.36,35.36,2.4,32.78,0.19,-88.28,43.52
22,15.6,15.6,2.38,47.41,0.5,0,5.95
23,5.72,5.72,2.38,47.54,0.57,0,5.94
24,29.97,29.97,2.36,70.89,0.61,0,5.94
25,44.95,44.95,5.73,5.09,0.55,0,5.74
26,25.54,25.54,2.39,84.2,0.85,0,6.01
27,22.53,22.53,2.39,32.87,0.93,0,5.92
28,16.56,16.56,2.38,8.92,0.42,0,6.02
29,10.57,10.57,2.39,33.87,0.5,0,5.91
30,28.29,28.29,2.39,93.85,0.56,0,5.09
31,17.02,17.02,2.37,69.06,0.76,0,5.92
32,37.61,37.61,2.37,61.95,0.23,-52.99,28.89
33,26.7,26.07,2.37,1.22,0.18,-204.3,59.54
34,37.12,37.12,2.37,11.13,0.53,-100.31,50.03
35,17.13,17.13,2.37,86.22,0.48,0,6.02
36,43.08,43.08,2.37,59.38,0.72,-25.71,19.02
37,27.24,27.24,2.35,78.43,0.39,0,5.97
38,7.05,7.05,2.38,66.31,0.51,0,6.03
39,18.16,18.16,2.38,10.18,0.7,0,5.92
40,36.22,35.5,2.38,6.76,0.7,-97.58,39.71
41,35.8,35.8,2.37,57.01,0.48,0,5.96
42,39.13,39.13,2.37,4.57,0.56,-52.74,33.75
43,37.01,37.01,2.37,54.84,0.47,-57.7,34.49
44,24.94,24.94,2.37,88.32,0.54,0,6.06
45,31.61,31.61,2.38,38.72,0.62,0,5.88
46,25.27,25.27,2.4,24.04,0.51,0,5.99
47,19.13,19.13,2.39,64.09,0.45,0,6.01
48,35.01,35.01,2.38,54.49,0.47,0,6.04
49,44.19,44.19,2.38,3.65,0.41,-13.4,20.93
50,26.35,26.35,2.38,7.29,0.75,-230.03,71.46
51,42.95,42.95,-0.01,76.36,0.37,-6.88,13.42
52,12.8,12.8,2.39,43.88,0.51,0,5.97
53,32.39,32.39,2.39,48.43,0.73,0,5.95
54,42.48,42.48,2.39,73.83,0.74,-12.82,15.51
55,41.57,41.57,2.39,56.13,0.79,-31.38,25.03
56,10.24,10.24,2.38,18.59,0.38,0,5.97
57,31.23,31.23,2.39,89.07,0.22,0,5.97
58,31.05,31.05,2.39,62.79,0.65,0,5.93
59,34.2,34.2,2.39,44.42,0.66,-86.12,43.27
60,28.8,28.8,2.39,26.86,0.81,-114.99,51.54
61,5.77,5.77,2.38,7.3,0.62,0,5.98
62,25.58,25.58,2.4,64.89,0.65,0,6.03
63,35.59,35.59,2.38,81.74,0.62,0,5.95
64,26.03,26.03,2.37,45.68,0.38,0,5.92
65,14.88,14.48,2.38,87.65,0.43,0,5.97
66,13.57,13.57,2.38,37.26,0.39,0,6.05
67,25.53,25.53,2.4,94.25,0.38,-28.99,4.75
68,25.12,25.12,2.4,17.25,0.46,0,6.04
69,31.28,31.28,2.4,57.59,0.57,0,5.92
70,31.05,31.05,2.4,6.32,0.64,-199.45,64.08
71,15.9,15.9,2.39,49.95,0.49,0,6.01
72,38.91,38.17,2.39,38.32,0.61,-68.12,35.96
73,32.32,32.32,2.39,38.88,0.53,-144.22,49.44
74,36.89,36.89,2.39,29.22,0.6,-96.61,44.48
75,42.32,42.32,2.39,10.45,0.5,-97.26,39.68
76,36.35,36.35,2.39,52.16,0.47,-73.12,36.64
77,12.06,12.06,2.37,41.06,0.37,0,5.96
78,35.21,35.21,2.37,91.14,0.52,0,5.05
79,13.26,12.89,2.41,75.02,0.34,0,6.01
80,10.6,10.6,2.38,69.56,0.54,0,6.04
81,42.27,42.27,2.38,33.27,0.63,-39.71,31.69
82,25.32,25.32,2.4,51.06,0.41,0,6.01
83,37.47,37.47,2.4,73.75,0.46,0,5.92
84,13.16,13.16,2.4,94.66,0.0,-510.09,0.29
85,37.63,37.63,2.39,71.5,0.75,0,5.98
86,28.06,27.41,2.39,31.35,0.64,0,5.95
87,27.92,27.92,2.4,29.34,0.82,0,5.81
88,39.5,39.5,2.4,60.62,0.34,-35.68,25.86
89,34.94,34.94,2.4,19.88,0.51,-112.94,51.33
90,42.32,42.32,2.4,73.31,0.34,-14.74,16.1
91,13.56,13.56,2.4,44.53,0.72,0,5.97
92,43.13,43.13,2.4,40.92,0.29,-31.56,25.06
93,10.09,9.82,2.39,71.47,0.47,0,5.98
94,9.4,9.4,2.39,67.96,0.47,0,6.0
95,20.74,20.2,2.38,65.79,0.67,0,6.01
96,31.06,31.06,2.37,70.2,0.51,0,5.99
97,40.42,40.42,2.37,13.22,0.7,-73.1,41.69
98,6.06,6.06,2.37,48.71,0.47,0,5.89
99,10.17,10.17,2.38,73.55,0.43,0,5.92
100,30.74,30.74,2.38,17.58,0.49,-204.42,59.55
101,13.98,13.98,2.38,31.51,0.54,0,5.84
102,30.26,30.26,2.38,94.78,0.66,0,5.22
103,28.85,28.85,2.38,25.52,0.84,-164.16,61.21
104,7.01,7.01,2.39,34.41,0.45,0,5.88
105,23.48,23.48,2.39,85.94,0.67,0,5.91
106,7.49,7.32,2.39,18.32,0.6,0,6.04
107,37.89,37.89,2.39,36.44,0.43,-79.55,37.48
108,44.61,44.61,7.34,79.65,0.41,0,8.8
109,21.24,21.24,2.37,12.25,0.46,0,5.97
110,27.34,27.34,2.37,48.92,0.35,0,6.06
111,25.7,25.7,2.39,83.03,0.58,0,6.01
112,9.14,8.88,2.4,20.15,0.92,0,6.0
113,22.42,22.42,2.4,60.82,0.31,-51.49,28.65
114,31.65,30.97,2.36,53.11,0.59,0,5.96
115,14.2,14.2,2.37,32.27,0.44,0,5.99
116,35.87,35.87,2.38,61.92,0.63,0,5.95
117,21.92,21.92,2.38,26.14,0.25,-206.39,59.71
118,30.55,30.55,2.38,50.76,0.52,0,5.87
119,22.69,22.69,2.38,33.27,0.32,-118.01,46.81
120,28.32,28.32,2.38,40.23,0.45,0,5.94
121,36.38,36.38,2.38,10.17,0.33,-116.38,51.68
122,20.52,20.52,2.39,50.34,0.66,0,6.01
123,32.99,32.99,2.36,55.72,0.46,0,6.02
