Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,44.99,44.99,37.5,30.96,0.61,-524.54,0.24
1,21.11,21.11,37.5,35.04,0.38,-107.45,45.68
2,24.03,24.03,11.06,54.42,0.86,-1044.23,-0.06
3,8.3,8.3,11.06,62.87,0.37,-326.29,82.9
4,44.31,44.31,36.48,8.94,0.66,-608.79,0.01
5,34.06,34.06,25.54,23.19,0.44,-1102.16,-0.12
6,5.05,5.05,25.54,99.0,0.54,-420.67,93.37
7,11.24,11.24,25.54,3.31,0.44,-250.91,72.93
8,40.95,40.95,32.52,14.65,0.6,-1130.08,-0.42
9,13.46,13.46,32.52,13.92,0.21,-277.75,69.84
10,39.92,39.92,31.21,11.74,0.45,-612.73,0.0
11,27.24,27.24,17.09,41.2,0.55,-1068.36,-0.11
12,27.68,27.68,17.03,96.95,0.49,-579.56,0.09
13,19.4,19.4,17.03,17.45,0.66,-21.84,18.06
14,31.73,31.04,22.62,45.96,0.5,-1090.49,-0.17
15,43.73,43.73,35.27,9.44,0.56,-1141.08,-0.04
16,44.35,44.35,35.16,37.3,0.53,-1140.63,-0.06
17,7.25,7.25,35.16,74.05,0.81,-394.82,86.94
18,38.21,38.21,30.05,28.46,0.4,-1120.19,-0.28
19,30.36,29.68,19.68,46.6,0.48,-1078.73,-0.1
20,16.16,16.16,19.68,57.08,0.59,-114.46,46.43
21,8.85,8.85,19.68,10.38,0.55,-321.72,82.63
22,15.31,15.31,19.68,15.66,0.34,-128.29,52.85
23,43.4,43.4,35.46,84.19,0.7,-1141.82,-0.46
24,29.01,29.01,17.68,1.48,0.51,-1070.74,-0.03
25,40.96,40.96,32.98,82.33,0.52,-602.13,0.03
26,40.5,39.74,32.88,79.43,0.28,-1131.52,-0.08
27,40.05,40.05,32.27,52.35,0.6,-564.76,0.13
28,7.38,7.38,32.27,79.61,0.64,-368.5,85.43
29,15.16,15.16,32.27,37.78,0.6,-115.21,46.51
30,5.87,5.87,32.27,11.46,0.55,-449.17,89.96
31,44.64,44.64,37.33,63.09,0.53,-1149.3,-0.36
32,25.45,24.83,12.76,67.99,0.84,-1051.02,-0.03
33,29.99,29.99,19.84,32.96,0.55,-1079.36,-0.02
34,23.63,23.63,12.44,71.58,0.54,-604.48,0.02
35,8.77,8.77,12.44,15.2,0.4,-317.69,82.38
36,26.22,26.22,16.41,32.04,0.17,-1065.65,-0.21
37,32.48,32.48,22.94,77.17,0.51,-1091.78,-0.31
38,26.88,26.88,16.14,39.22,0.35,-1064.54,-0.15
39,34.04,34.04,25.31,9.84,0.51,-1101.24,-0.01
40,24.11,24.11,12.06,92.05,0.42,-598.29,0.04
41,5.14,5.14,12.06,45.06,0.35,-425.06,93.61
42,24.14,24.14,11.03,9.41,0.4,-1044.14,-0.11
43,7.97,7.97,11.03,39.5,0.46,-368.2,85.41
44,6.85,6.85,11.03,10.84,0.77,-421.75,88.45
45,21.1,21.1,11.03,63.84,0.18,-41.44,26.93
46,20.64,20.64,2.11,59.26,0.48,0,9.4
47,27.24,27.24,15.67,26.54,0.36,-578.25,0.09
48,18.05,18.05,15.67,89.4,0.13,-60.26,34.86
49,24.82,24.82,12.43,10.08,0.56,-601.92,0.03
50,22.56,22.56,8.56,9.21,0.63,-1034.25,-0.03
51,25.69,25.69,13.76,29.15,0.42,-1055.03,-0.11
52,27.29,27.29,16.17,24.11,0.45,-1064.66,-0.1
53,32.33,31.64,23.64,10.79,0.62,-579.54,0.09
54,35.72,35.72,26.38,2.51,0.55,-1105.5,-0.14
55,33.67,33.67,24.58,36.28,0.34,-1098.32,-0.11
56,15.97,15.97,24.58,20.0,0.52,-111.03,51.14
57,42.11,42.11,34.07,2.87,0.51,-1136.27,-0.02
58,37.07,36.34,29.02,47.79,0.4,-1116.06,-0.29
59,24.48,24.48,11.39,46.79,0.68,-601.62,0.03
60,35.21,34.5,26.2,4.64,0.61,-1104.8,-0.17
61,27.01,27.01,15.76,39.19,0.13,-1063.04,-0.02
62,5.96,5.96,15.76,82.77,0.23,-377.48,90.99
63,31.72,31.72,22.3,2.0,0.72,-1089.21,-0.11
64,7.53,7.53,22.3,38.46,0.38,-386.21,86.45
65,25.69,25.69,13.71,13.07,0.37,-1054.83,-0.01
66,27.71,27.71,17.39,51.79,0.63,-1069.57,-0.1
67,42.73,42.73,35.29,5.81,0.62,-591.93,0.05
68,40.99,40.99,33.17,15.23,0.86,-611.81,0.0
69,24.87,24.87,14.25,82.67,0.54,-593.71,0.05
70,17.78,17.78,14.25,44.33,0.56,-42.19,32.1
71,25.24,25.24,13.92,17.06,0.4,-1055.7,-0.11
72,36.12,36.12,25.74,40.21,0.64,-1102.98,-0.13
73,20.95,20.95,0.01,80.49,0.35,-9.9,14.54
74,35.86,35.86,27.18,84.01,0.6,-1108.71,-0.17
75,35.96,35.96,26.5,59.03,0.38,-1106.0,-0.0
76,42.64,42.64,34.58,32.27,0.34,-1138.3,-0.4
77,23.93,23.93,10.71,75.52,0.6,-1042.83,-0.08
78,24.01,24.01,10.78,66.04,0.47,-1043.12,-0.09
79,37.83,37.83,28.83,20.0,0.28,-568.45,0.12
80,30.19,30.19,20.08,45.2,0.56,-1080.32,-0.12
81,42.11,41.35,34.4,41.04,0.48,-600.14,0.03
82,13.06,13.06,34.4,54.56,0.74,-198.01,63.97
83,8.31,8.31,34.4,68.47,0.62,-350.02,84.34
84,40.79,40.79,32.88,55.17,0.74,-1131.51,-0.1
85,37.42,36.69,28.38,77.58,0.67,-1113.52,-0.12
86,32.68,32.68,23.62,44.78,0.47,-600.55,0.03
87,39.4,38.65,32.13,98.3,0.48,-589.03,0.06
88,44.73,44.73,36.36,46.16,0.81,-607.64,0.01
89,28.66,28.66,18.23,31.07,0.61,-1072.93,-0.26
90,44.69,44.69,37.33,98.32,0.62,-558.7,0.14
91,32.29,32.29,23.28,11.06,0.71,-1093.11,-0.02
92,35.52,35.52,26.82,35.82,0.3,-1107.3,-0.04
93,28.42,28.42,17.18,41.69,0.59,-1068.72,-0.06
94,39.6,39.6,31.97,98.45,0.71,-577.99,0.09
95,15.88,15.88,31.97,47.41,0.68,-111.0,46.06
96,17.9,17.9,31.97,43.85,0.65,-35.19,30.92
97,32.52,32.52,22.43,65.31,0.54,-1089.74,-0.27
98,10.79,10.79,22.43,29.68,0.37,-245.62,72.57
99,28.72,28.72,19.25,32.14,0.65,-1076.98,-0.07
100,29.39,29.39,19.84,97.19,0.22,-548.81,0.17
101,19.48,19.48,19.84,44.39,0.48,-19.59,22.48
102,13.86,13.86,19.84,86.01,0.8,-189.0,58.28
103,36.55,36.55,28.51,72.33,0.43,-583.86,0.08
104,44.97,44.97,37.32,51.1,0.51,-1149.28,-0.04
105,9.35,9.35,37.32,42.34,0.1,-351.83,79.5
106,13.72,13.72,37.32,70.6,0.19,-196.59,58.91
107,39.58,39.58,31.16,24.75,0.38,-562.86,0.13
108,40.72,40.72,32.6,78.31,0.24,-1130.38,-0.37
109,42.94,42.94,35.11,34.27,0.74,-1140.44,-0.13
110,12.4,12.4,35.11,83.48,0.36,-197.63,63.94
111,12.45,12.45,35.11,41.73,0.44,-227.01,66.2
112,23.17,23.17,8.62,54.76,0.49,-1034.48,-0.06
113,22.76,22.76,9.44,65.03,0.55,-1037.77,-0.08
114,21.35,21.35,6.36,4.57,0.42,-370.2,0.79
115,40.14,40.14,32.07,11.87,0.58,-605.2,0.02
116,35.28,35.28,26.62,46.51,0.6,-607.51,0.01
117,29.12,29.12,18.52,50.74,0.21,-1074.07,-0.05
118,38.95,38.95,30.38,69.53,0.47,-1121.52,-0.21
119,5.49,5.49,30.38,69.0,0.6,-409.82,92.78
120,26.7,26.07,16.05,12.81,0.46,-1064.2,-0.09
121,35.07,35.07,27.15,85.19,0.47,-1108.62,-0.04
122,41.06,41.06,32.98,78.98,0.45,-1131.92,-0.16
123,18.41,18.41,32.98,7.91,0.83,-53.37,28.95
124,28.47,28.47,18.08,1.67,0.57,-610.72,0.01
125,36.71,36.71,28.11,92.59,0.36,-572.67,0.11
126,44.2,43.42,36.52,10.71,0.53,-1146.08,-0.13
127,21.94,21.94,8.28,6.3,0.44,-1033.13,-0.07
128,44.26,44.26,36.6,14.95,0.42,-531.54,0.22
129,34.19,34.19,24.46,69.93,0.39,-1097.84,-0.12
130,26.2,25.57,15.69,72.82,0.6,-1062.76,-0.03
131,26.29,26.29,15.3,33.92,0.34,-612.36,0.0
132,19.92,19.92,15.3,42.01,0.42,-26.16,19.12
133,24.77,24.77,11.44,53.91,0.26,-1045.77,-0.16
134,31.78,31.78,22.78,37.58,0.33,-1091.11,-0.11
135,12.98,12.98,22.78,82.79,0.56,-174.21,62.05
136,18.37,18.37,22.78,79.58,0.68,-39.49,31.65
137,23.96,23.96,10.8,74.49,0.54,-1043.22,-0.06
138,17.89,17.89,10.8,25.97,0.67,-41.55,26.95
139,6.81,6.81,10.8,2.28,0.52,-423.61,88.56
140,8.59,8.59,10.8,1.51,0.48,-374.6,90.83
141,30.06,30.06,20.04,84.74,0.62,-1080.16,-0.11
142,26.51,25.88,13.79,9.39,0.46,-1055.14,-0.02
143,41.41,41.41,33.66,46.56,0.33,-520.92,0.25
144,41.72,41.72,33.65,36.42,0.64,-1134.61,-0.16
145,29.56,29.56,18.93,93.75,0.54,-561.75,0.14
146,22.35,22.35,18.93,36.89,0.24,-83.89,43.01
147,36.64,36.64,27.75,14.9,0.53,-1111.01,-0.12
148,26.27,25.64,15.47,41.42,0.51,-1061.89,-0.06
