Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
0,14.469,14.469,0.0,-325.441,87.853
1,35.023,35.023,0.0,-78.082,42.292
2,19.133,19.133,0.0,-288.96,80.511
3,20.948,20.948,0.0,-226.304,76.192
4,14.794,14.794,0.0,-306.76,86.699
5,27.772,27.772,0.0,-176.129,62.196
6,18.182,18.182,0.0,-314.311,82.158
7,5.708,5.708,0.0,-398.513,97.161
8,21.692,21.136,0.0,-275.793,74.709
9,15.805,15.805,0.0,-282.967,85.191
10,2.034,1.966,0.0,-402.456,97.378
11,25.278,25.278,0.0,-172.808,66.935
12,41.853,41.853,0.0,-11.166,19.972
13,4.635,4.635,0.0,-399.796,97.231
14,27.324,27.324,0.0,-189.153,63.297
15,13.079,13.079,0.0,-355.88,89.683
16,42.348,42.348,0.0,-6.389,18.221
17,15.989,15.56,0.0,-358.455,84.906
18,24.524,24.524,0.0,-194.037,68.655
19,33.87,33.87,0.0,-93.276,44.198
20,4.612,4.612,0.0,-400.048,97.245
21,8.617,8.617,0.0,-439.758,94.444
22,14.147,14.147,0.0,-321.681,87.623
23,3.719,3.719,0.0,-404.818,97.507
24,8.51,8.51,0.0,-434.041,94.131
25,29.841,29.841,0.0,-118.913,56.932
26,33.38,33.38,0.0,-76.82,47.15
27,43.615,43.615,-0.005,0,13.674
28,40.194,39.442,-0.005,-25.322,23.922
29,18.652,18.652,-0.005,-301.88,81.357
30,43.615,43.615,-0.004,0,13.668
31,5.285,5.285,-0.004,-393.342,96.875
32,10.633,10.633,-0.004,-404.802,92.506
33,31.96,31.96,-0.004,-98.962,49.745
34,12.015,12.015,-0.004,-377.953,90.974
35,44.951,44.951,8.991,-7.775,6.805
36,37.58,37.58,8.991,-45.6,32.658
37,30.943,30.943,8.991,-139.559,53.991
38,7.123,6.891,8.991,-373.924,95.79
39,4.526,4.526,8.991,-400.779,97.285
40,3.35,3.35,8.991,-411.131,97.852
41,9.526,9.526,8.991,-424.645,93.614
42,5.583,5.583,8.991,-399.445,97.212
43,15.092,15.092,8.991,-311.257,86.979
44,19.842,19.842,8.991,-269.95,79.241
45,44.355,44.355,-0.004,0,10.971
46,31.822,31.822,-0.004,-115.794,51.575
47,39.913,39.913,-0.004,-29.497,24.888
48,17.959,17.959,-0.004,-320.178,82.531
49,4.322,4.322,-0.004,-402.719,97.392
50,24.994,24.994,-0.004,-195.18,68.746
51,14.097,13.72,-0.004,-322.779,87.69
52,26.355,26.355,-0.004,-157.137,65.616
53,35.405,35.405,-0.004,-69.37,41.132
54,22.458,22.458,-0.004,-253.476,73.135
55,34.425,34.425,-0.004,-92.331,44.083
56,41.792,41.792,-0.004,-11.803,20.183
57,12.203,12.203,-0.004,-374.172,90.755
58,27.763,27.119,-0.004,-147.73,59.679
59,30.093,30.093,-0.004,-112.261,56.265
60,10.936,10.936,-0.004,-399.155,92.187
61,26.333,25.707,-0.004,-188.485,63.242
62,21.294,21.294,-0.004,-230.609,76.502
63,19.243,19.243,-0.004,-286.084,80.321
64,19.839,19.318,-0.004,-243.144,77.392
65,14.76,14.76,-0.004,-318.81,87.446
66,8.692,8.692,-0.004,-438.606,94.381
67,8.427,8.427,-0.004,-442.776,94.608
68,41.689,41.689,-0.004,-12.94,20.548
69,5.25,5.25,-0.004,-393.755,96.898
70,40.184,40.184,-0.004,-12.643,25.732
71,40.557,39.803,-0.004,-20.342,22.673
72,20.766,20.766,-0.004,-244.952,77.519
73,5.949,5.949,-0.004,-390.38,96.711
74,31.004,31.004,-0.004,-123.888,52.418
75,40.107,40.107,-0.004,-13.642,25.998
76,2.224,2.224,-0.004,-419.2,98.29
77,16.715,16.715,-0.004,-352.527,84.545
78,2.768,2.768,-0.004,-415.066,98.066
79,18.672,18.672,-0.004,-301.332,81.321
80,30.664,30.664,-0.004,-147.263,54.738
81,6.376,6.376,-0.004,-389.167,96.644
82,3.792,3.792,-0.004,-404.086,97.467
83,31.839,31.839,-0.004,-115.328,51.525
84,18.538,18.538,-0.004,-304.876,81.551
85,22.977,22.977,-0.004,-253.104,73.108
86,24.595,24.595,-0.004,-192.057,68.498
87,33.175,33.175,-0.004,-81.707,47.744
88,17.445,17.445,-0.004,-320.602,82.558
89,22.071,22.071,-0.004,-264.768,73.938
90,3.249,3.249,-0.004,-411.915,97.895
91,21.437,21.437,-0.004,-226.737,76.223
92,19.836,19.836,-0.004,-256.537,78.324
93,1.805,1.805,-0.004,-421.848,98.433
94,8.318,8.318,-0.004,-444.551,94.705
95,13.856,13.856,-0.004,-328.241,88.024
96,39.604,39.604,-0.004,-13.407,25.936
97,34.112,34.112,-0.004,-87.409,43.478
98,22.504,22.504,-0.004,-252.16,73.04
99,4.473,4.473,-0.004,-397.426,97.101
100,16.482,16.482,-0.004,-345.772,84.131
101,42.675,42.675,-0.004,-0.286,15.187
102,32.26,32.26,-0.004,-104.424,50.351
103,22.704,22.704,-0.004,-261.069,73.676
104,33.858,33.858,-0.004,-65.782,45.759
105,35.669,35.669,-0.004,-63.573,40.33
106,22.455,22.455,-0.004,-268.276,74.185
107,23.785,23.785,-0.004,-229.766,71.402
108,23.439,23.439,-0.004,-225.095,71.052
109,3.563,3.563,-0.004,-409.403,97.758
110,24.318,24.318,-0.004,-214.405,70.242
111,22.448,21.879,-0.004,-253.756,73.155
112,15.112,14.707,-0.004,-299.391,86.236
113,5.351,5.351,-0.004,-392.637,96.836
114,25.488,25.488,-0.004,-166.978,66.449
115,29.842,29.842,-0.004,-118.85,56.926
116,37.725,37.725,-0.004,-52.821,33.866
117,41.136,41.136,-0.004,-19.559,22.466
118,23.943,23.943,-0.004,-225.18,71.059
119,35.41,35.41,-0.004,-69.246,41.116
120,7.399,7.399,-0.004,-375.552,95.882
121,17.295,17.295,-0.004,-337.594,83.625
122,6.075,6.075,-0.004,-387.32,96.541
123,10.355,10.355,-0.004,-409.959,92.796
124,25.45,25.45,-0.004,-182.276,67.711
125,10.086,10.086,-0.004,-414.823,93.068
126,15.299,15.299,-0.004,-306.426,86.678
127,30.132,30.132,-0.004,-111.257,56.164
128,6.359,6.359,-0.004,-389.327,96.652
129,43.93,43.93,-0.002,0,10.609
130,7.138,6.905,-0.002,-373.769,95.782
131,14.675,14.675,-0.002,-309.545,86.872
132,10.667,10.667,-0.002,-404.193,92.472
133,41.188,41.188,-0.002,-18.904,22.289
134,12.089,12.089,-0.002,-376.493,90.89
135,32.964,32.964,-0.002,-86.845,48.354
136,31.915,31.228,-0.002,-100.074,49.869
137,18.917,18.917,-0.002,-294.769,80.893
138,32.326,32.326,-0.002,-89.828,48.703
139,14.546,14.546,-0.002,-323.709,87.747
140,3.894,3.894,-0.002,-406.498,97.599
141,30.722,30.722,-0.002,-145.687,54.587
142,3.666,3.565,-0.002,-402.013,97.353
143,14.492,14.492,-0.002,-324.927,87.821
144,25.477,25.477,-0.002,-167.256,66.472
145,20.975,20.975,-0.002,-239.268,77.118
146,41.897,41.134,-0.002,-5.786,17.973
147,17.778,17.778,-0.002,-324.962,82.834
148,43.808,43.033,4.631,-1.73,9.146
149,17.574,17.574,4.631,-330.264,83.167
150,9.295,9.295,4.631,-420.577,93.389
151,16.987,16.987,4.631,-345.558,84.118
152,23.757,23.757,4.631,-230.54,71.459
153,38.154,38.154,4.631,-44.547,32.476
154,39.727,39.727,4.631,-18.738,27.275
155,19.746,19.746,4.631,-272.535,79.416
156,16.306,16.306,4.631,-282.708,85.174
157,5.364,5.364,4.631,-392.499,96.828
158,11.294,11.294,4.631,-382.813,91.255
159,42.853,42.853,4.631,-2.44,16.424
160,15.762,15.762,4.631,-295.663,86.001
161,6.533,6.533,4.631,-387.684,96.561
162,17.827,17.827,4.631,-323.666,82.752
163,26.526,26.526,4.631,-152.432,65.211
164,39.07,39.07,4.631,-28.657,29.473
165,41.166,41.166,4.631,-19.189,22.366
166,44.73,44.73,3.378,-1.305,9.586
167,28.442,28.442,3.378,-157.144,60.532
168,8.101,7.855,3.378,-440.728,94.497
169,25.028,25.028,3.378,-194.223,68.67
170,29.3,29.3,3.378,-133.391,58.339
171,24.955,24.955,3.378,-196.269,68.832
172,20.37,20.37,3.378,-242.01,77.312
173,24.605,24.605,3.378,-206.268,69.615
174,19.895,19.895,3.378,-268.497,79.142
175,34.873,34.873,3.378,-69.699,41.177
176,19.861,19.861,3.378,-269.394,79.203
177,31.676,30.991,3.378,-106.165,50.541
178,21.909,21.35,3.378,-269.465,74.268
179,5.399,5.399,3.378,-392.134,96.808
180,34.256,34.256,3.378,-83.926,43.041
181,7.459,7.222,3.378,-368.062,95.459
182,12.288,12.288,3.378,-372.441,90.655
183,17.049,17.049,3.378,-343.934,84.018
184,28.204,28.204,3.378,-163.819,61.125
185,17.791,17.791,3.378,-311.458,81.975
186,38.409,38.409,3.378,-39.879,31.645
187,32.063,32.063,3.378,-109.48,50.901
188,40.936,40.936,3.378,-22.238,23.163
189,43.862,43.862,-0.002,0,12.775
190,34.063,34.063,-0.002,-61.18,45.157
191,2.096,2.096,-0.002,-418.391,98.246
192,34.214,34.214,-0.002,-97.557,44.711
193,44.008,44.008,0.003,0,12.241
194,27.859,27.214,0.003,-145.031,59.43
195,20.289,20.289,0.003,-257.814,78.412
196,11.655,11.655,0.003,-385.171,91.39
197,8.17,8.17,0.003,-446.76,94.825
198,26.912,26.912,0.003,-201.228,64.292
199,36.408,36.408,0.003,-48.107,38.04
