Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
0,26.037,26.037,15.238,-603.935,0.023
1,28.827,28.827,18.144,-565.123,0.127
2,3.855,3.855,18.144,-376.658,95.944
3,5.739,5.739,18.144,-401.773,92.336
4,28.994,28.994,19.318,-567.797,0.12
5,24.274,23.676,12.728,-1050.911,-0.053
6,29.185,29.185,18.926,-1075.705,-0.21
7,1.6,1.6,18.926,-420.713,98.372
8,30.567,30.567,20.964,-1083.857,-0.032
9,28.579,28.579,17.817,-609.724,0.009
10,27.873,27.873,16.158,-1064.632,-0.19
11,29.422,29.422,19.241,-1076.963,-0.18
12,3.198,3.198,19.241,-387.78,96.566
13,9.2,8.938,19.241,-283.464,80.147
14,33.386,33.386,24.086,-1096.344,-0.131
15,2.873,2.873,24.086,-393.693,96.895
16,14.125,14.125,24.086,-146.479,54.663
17,12.67,12.67,24.086,-192.739,63.595
18,36.181,36.181,27.201,-572.881,0.106
19,28.513,28.513,18.924,-1075.694,-0.268
20,1.764,1.764,18.924,-419.97,98.332
21,9.858,9.858,18.924,-232.018,76.602
22,40.26,40.26,31.161,-1124.642,-0.065
23,34.252,34.252,25.209,-529.978,0.227
24,39.876,39.876,31.005,-1124.02,-0.35
25,10.844,10.552,31.005,-258.251,73.476
26,36.896,36.896,28.591,-1114.364,-0.142
27,21.904,21.904,6.04,-106.404,2.728
28,43.122,43.122,35.847,-504.492,0.304
29,38.092,38.092,29.709,-599.257,0.036
30,23.002,23.002,10.123,-1040.491,-0.02
31,12.3,11.958,10.123,-209.397,69.857
32,11.312,11.312,10.123,-211.717,70.036
33,22.098,22.098,2.273,-2.046,8.885
34,18.979,18.979,2.273,-25.444,23.951
35,30.557,30.557,21.434,-580.414,0.085
36,14.977,14.977,21.434,-141.162,54.148
37,11.68,11.68,21.434,-214.677,70.263
38,3.739,3.739,21.434,-381.216,96.2
39,28.85,28.85,19.078,-567.453,0.121
40,35.701,35.701,26.526,-564.946,0.127
41,26.513,25.884,15.699,-1062.794,-0.109
42,15.003,15.003,15.699,-106.192,50.544
43,39.485,39.485,30.638,-504.532,0.304
44,35.926,35.204,27.626,-544.062,0.186
45,44.53,44.53,36.224,-1144.898,-0.369
46,44.764,44.764,36.699,-607.697,0.014
47,39.108,39.108,31.289,-1125.158,-0.188
48,8.466,8.466,31.289,-348.948,84.326
49,13.052,13.052,31.289,-195.48,63.822
50,28.33,28.33,18.067,-1072.269,-0.05
51,16.017,16.017,18.067,-91.08,43.93
52,10.532,10.532,18.067,-250.139,77.881
53,22.583,22.583,6.574,-343.034,0.905
54,33.765,33.765,23.904,-600.585,0.032
55,6.89,6.89,23.904,-340.12,88.743
56,25.826,25.826,11.58,-1046.32,-0.085
57,44.012,44.012,36.75,-1147.002,-0.455
58,36.695,36.695,27.114,-1108.457,-0.288
59,38.747,38.747,30.734,-1122.935,-0.134
60,12.92,12.92,30.734,-185.467,62.989
61,41.107,41.107,33.355,-1133.42,-0.206
62,1.873,1.816,33.355,-408.753,97.722
63,25.835,25.835,14.326,-1057.303,-0.201
64,43.102,43.102,35.633,-1142.532,-0.025
65,31.475,31.475,21.235,-1084.941,-0.04
66,4.007,4.007,21.235,-365.801,95.331
67,28.221,28.221,17.452,-587.541,0.066
68,3.421,3.327,17.452,-374.028,95.796
69,20.099,19.538,0.003,0,14.56
70,3.973,3.864,0.003,-360.992,95.057
71,24.613,24.613,11.237,-1044.949,-0.041
72,6.245,6.245,11.237,-384.915,91.375
73,27.602,27.602,17.504,-602.257,0.028
74,29.108,29.108,20.047,-610.775,0.006
75,13.803,13.803,20.047,-141.746,59.126
76,41.453,41.453,33.225,-1132.899,-0.186
77,18.663,18.663,33.225,-32.777,35.498
78,16.402,16.402,33.225,-40.806,36.869
79,44.261,44.261,36.596,-1146.384,-0.047
80,31.549,31.549,21.842,-564.769,0.128
81,18.937,18.436,21.842,-38.276,31.35
82,21.494,21.494,1.949,-1.188,9.731
83,38.599,38.599,30.323,-557.941,0.147
84,15.605,15.605,30.323,-94.487,44.344
85,26.392,26.392,14.088,-1056.351,-0.068
86,33.621,33.621,23.186,-1092.745,-0.014
87,16.737,16.737,23.186,-39.947,36.727
88,15.721,15.721,23.186,-96.68,49.488
89,31.291,31.291,21.435,-1085.741,-0.15
90,18.419,18.419,21.435,-22.75,28.203
91,32.571,32.571,22.098,-1088.394,-0.211
92,26.463,26.463,14.967,-598.201,0.038
93,1.916,1.916,14.967,-419.492,98.306
94,2.293,2.221,14.967,-394.499,96.939
95,6.506,6.506,14.967,-355.952,89.687
96,4.972,4.972,14.967,-427.213,93.756
97,32.164,32.164,22.572,-598.74,0.037
98,31.078,31.078,21.521,-576.539,0.096
99,20.39,20.39,21.521,-2.896,16.656
100,29.074,29.074,18.424,-1073.694,-0.02
101,25.556,25.556,10.825,-1043.299,-0.058
102,33.203,33.203,23.3,-1093.199,-0.281
103,18.733,18.733,23.3,-24.2,28.525
104,32.714,32.714,22.86,-594.347,0.048
105,29.678,29.678,20.251,-601.774,0.029
106,24.938,24.938,11.821,-1047.283,-0.029
107,19.471,19.471,11.821,-15.11,21.213
108,19.354,18.844,11.821,-15.746,21.4
109,10.234,10.234,11.821,-225.44,76.13
110,39.662,39.662,31.297,-548.556,0.173
111,6.822,6.822,31.297,-339.246,88.691
112,21.699,21.699,4.388,-11.532,6.191
113,9.057,9.057,4.388,-288.935,80.51
114,15.747,15.747,4.388,-64.469,40.455
115,6.24,6.24,4.388,-383.327,91.284
116,29.766,29.766,18.823,-1075.293,-0.113
117,33.737,33.737,23.557,-1094.229,-0.267
118,10.421,10.421,23.557,-249.479,77.835
119,4.999,4.999,23.557,-408.01,92.687
120,20.946,20.404,0.003,0,10.634
121,14.384,14.384,0.003,-142.126,54.242
122,16.275,16.275,0.003,-87.769,48.463
123,11.412,11.412,0.003,-266.789,74.08
124,8.604,8.604,0.003,-352.254,84.529
125,36.178,35.454,27.833,-1111.333,-0.263
126,7.747,7.747,27.833,-325.416,82.862
127,40.003,40.003,32.164,-498.178,0.323
128,44.285,44.285,35.502,-582.59,0.08
129,39.523,39.523,30.375,-1121.501,-0.358
130,16.294,16.294,30.375,-82.555,42.867
131,31.931,31.243,22.231,-599.973,0.034
132,20.373,20.373,22.231,-20.869,22.811
133,9.863,9.863,22.231,-255.856,78.277
134,2.893,2.893,22.231,-393.15,96.865
135,11.266,11.266,22.231,-196.342,68.838
136,25.801,25.801,13.971,-1055.883,-0.057
137,21.164,21.164,0.012,0,11.978
138,12.745,12.745,0.012,-202.273,69.304
139,17.215,17.215,0.012,-58.481,34.765
140,1.672,1.672,0.012,-420.534,98.362
141,19.581,19.581,0.012,-20.747,22.779
142,33.516,33.516,23.754,-587.207,0.067
143,19.264,19.264,23.754,-14.754,26.287
144,11.193,10.893,23.754,-278.773,79.835
145,32.043,32.043,21.29,-1085.158,-0.026
146,27.43,27.43,16.396,-1065.585,-0.121
147,42.058,42.058,33.393,-1133.572,-0.111
148,3.38,3.38,33.393,-377.562,95.995
149,22.602,22.602,8.739,-1034.957,-0.079
150,27.696,27.696,16.38,-1065.52,-0.115
151,35.78,35.78,26.172,-1104.686,-0.34
152,30.675,30.675,21.246,-1084.985,-0.285
153,23.52,22.933,9.516,-1038.064,-0.056
154,12.677,12.677,9.516,-188.181,68.188
155,34.424,34.424,24.688,-1098.75,-0.324
156,9.302,9.302,24.688,-320.747,82.567
157,17.824,17.824,24.688,-52.564,38.724
158,39.289,39.289,31.267,-1125.069,-0.171
159,23.316,23.316,8.635,-1034.542,-0.067
160,4.776,4.776,8.635,-434.792,94.172
161,21.643,21.643,5.311,-38.781,4.301
162,30.718,30.718,20.449,-1081.797,-0.035
163,28.104,28.104,16.958,-1067.831,-0.015
164,4.388,4.388,16.958,-361.627,95.093
165,24.541,24.541,10.639,-1042.556,-0.048
166,28.71,28.71,18.036,-1072.145,-0.241
167,6.841,6.841,18.036,-357.334,89.769
168,18.206,18.206,18.036,-42.3,32.08
169,18.564,18.564,18.036,-25.627,28.835
170,11.088,11.088,18.036,-265.816,74.012
171,40.277,40.277,30.906,-610.823,0.006
172,32.454,32.454,22.069,-608.28,0.012
173,24.061,24.061,9.181,-1036.723,-0.066
174,39.096,39.096,30.242,-604.385,0.022
175,20.155,20.155,30.242,-14.492,26.22
176,42.211,42.211,33.576,-610.357,0.007
177,20.187,20.187,33.576,-0.894,15.564
178,12.469,12.469,33.576,-158.991,65.774
179,23.523,23.523,9.475,-1037.902,-0.134
180,4.625,4.625,9.475,-444.38,94.695
181,24.013,24.013,9.87,-1039.481,-0.018
182,3.905,3.905,9.87,-375.609,95.885
183,22.377,22.377,5.736,-65.513,3.484
184,2.157,2.157,5.736,-414.581,98.04
185,13.603,13.603,5.736,-131.967,58.203
186,21.439,21.439,0.004,0,10.826
187,42.369,42.369,34.273,-611.697,0.004
188,22.845,22.845,7.96,-1031.838,-0.066
189,9.277,9.277,7.96,-283.938,80.179
190,39.687,38.938,30.449,-597.78,0.039
191,4.764,4.633,30.449,-423.184,93.533
192,34.087,34.087,24.928,-594.068,0.049
193,41.411,41.411,32.538,-592.893,0.052
194,23.291,23.291,10.664,-1042.654,-0.06
195,23.655,23.067,10.413,-1041.654,-0.057
196,30.61,29.935,20.455,-1081.822,-0.062
197,33.152,33.152,23.274,-1093.098,-0.009
198,44.958,44.958,37.369,-560.999,0.138
199,9.078,9.078,37.369,-304.91,81.553
200,43.074,43.074,35.087,-563.565,0.131
201,29.922,29.254,18.345,-1073.38,-0.019
202,40.65,40.65,32.239,-1128.957,-0.027
203,12.152,12.152,32.239,-194.298,68.676
204,24.852,24.852,12.151,-1048.603,-0.07
205,23.061,23.061,6.493,-153.742,2.155
206,9.587,9.587,6.493,-300.966,81.298
207,13.584,13.584,6.493,-170.276,61.691
208,20.458,19.926,6.493,-7.977,18.842
209,38.778,38.778,29.528,-603.876,0.024
210,13.442,13.083,29.528,-163.478,61.095
211,42.377,42.377,34.241,-548.17,0.174
212,24.966,24.966,10.373,-1041.491,-0.065
213,39.252,39.252,31.042,-1124.168,-0.143
214,39.473,39.473,31.692,-1126.77,-0.214
215,41.59,41.59,33.716,-570.585,0.112
216,1.144,1.144,33.716,-424.595,98.581
217,30.084,30.084,18.806,-1075.222,-0.008
218,23.075,23.075,6.57,-267.118,1.294
219,19.111,18.606,6.57,-52.672,33.842
220,7.033,7.033,6.57,-345.382,89.059
221,15.156,15.156,6.57,-83.601,47.97
222,4.793,4.793,6.57,-440.56,94.488
223,44.739,44.739,36.954,-1147.817,-0.187
224,19.537,19.537,36.954,-39.055,31.494
225,41.083,41.083,32.445,-1129.781,-0.404
226,25.712,25.712,12.736,-1050.944,-0.067
227,41.205,41.205,32.661,-1130.646,-0.029
228,28.761,28.105,18.261,-1073.044,-0.116
229,21.715,21.715,4.244,-10.527,6.333
230,12.463,12.463,4.244,-195.22,68.749
231,25.874,25.874,12.761,-1051.045,-0.077
232,28.266,28.266,17.028,-1068.112,-0.025
233,23.685,23.685,10.688,-1042.754,-0.059
234,30.732,30.732,19.932,-1079.727,-0.021
235,42.544,42.544,33.974,-1135.896,-0.161
236,29.732,29.732,19.362,-573.273,0.105
237,33.655,33.655,23.96,-1095.841,-0.106
238,38.886,38.886,30.563,-610.369,0.007
