Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,33.39,33.39,0.0,42.96,0.58,-114.78,46.47
1,26.42,26.42,0.0,18.45,0.66,-234.47,66.75
2,13.17,13.17,0.0,71.85,0.22,-442.15,89.57
3,32.93,32.93,0.0,57.52,0.49,-134.01,48.44
4,30.07,30.07,0.0,51.39,0.45,-150.67,54.95
5,10.24,10.24,0.0,86.92,0.46,-412.28,92.91
6,43.86,43.86,0.0,43.31,0.55,-23.79,23.44
7,41.7,41.7,0.0,99.41,0.55,-24.32,18.68
8,36.36,35.64,0.0,28.04,0.49,-86.72,43.34
9,39.56,39.56,0.0,21.57,0.66,-74.92,41.92
10,10.79,10.79,0.0,50.11,0.3,-401.79,92.34
11,15.74,15.74,0.0,74.22,0.74,-379.05,86.04
12,15.13,15.13,0.0,59.7,0.36,-394.38,86.92
13,29.77,29.77,0.0,84.65,0.6,-175.12,57.11
14,43.83,43.83,0.0,52.87,0.62,-10.65,20.18
15,5.93,5.93,0.0,25.95,0.32,-490.31,97.02
16,44.85,44.85,0.0,52.08,0.59,-23.15,18.39
17,28.41,28.41,0.0,26.9,0.83,-165.26,61.3
18,23.18,23.18,0.0,96.06,0.4,-247.27,72.68
19,44.62,44.62,0.0,39.9,0.56,-23.79,23.43
20,43.71,43.71,0.0,54.39,0.52,-11.23,20.35
21,11.6,11.6,0.0,56.86,0.59,-375.91,90.9
22,18.12,18.12,0.0,39.47,0.32,-315.75,82.26
23,7.08,7.08,0.0,94.33,0.48,-474.16,96.19
24,39.26,39.26,0.0,35.13,0.38,-71.87,36.47
25,12.04,12.04,0.0,95.78,0.44,-366.55,90.37
26,20.33,19.8,0.0,76.0,0.47,-317.82,77.38
27,8.26,8.26,0.0,50.99,0.42,-446.49,94.75
28,5.73,5.73,0.0,75.09,0.5,-491.95,97.11
29,9.95,9.95,0.0,66.21,0.69,-417.58,93.2
30,42.93,42.93,0.0,57.69,0.64,-14.14,21.13
31,29.73,29.73,0.0,34.84,0.45,-142.19,54.17
