,Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
0,0,42.381,42.381,0.0,-6.105,18.105
1,1,42.548,42.548,0.0,-4.721,17.515
2,2,41.31399999999999,41.31399999999999,0.0,-17.313,21.85
3,3,41.614,41.614,0.0,-13.752,20.802
4,4,40.882,40.882,0.0,-22.985,23.35
5,5,42.37,42.37,0.0,-6.202999999999999,18.146
6,6,43.768,43.768,-0.004,0.0,13.119000000000002
7,7,44.559,44.559,-0.002,0.0,10.215
8,8,41.74100000000001,40.979,-0.002,-7.1610000000000005,18.529
9,9,40.384,40.384,-0.002,-10.18,25.051
10,10,42.369,42.369,-0.002,-6.1979999999999995,18.144000000000002
11,11,40.038000000000004,40.038000000000004,-0.002,-14.52,26.226999999999997
12,12,44.924,44.924,5.186,-2.074,8.863
13,13,40.957,40.957,5.186,-21.943,23.088
14,14,42.463,42.463,5.186,-5.409,17.814
15,15,43.302,43.302,0.001,0.0,14.809000000000001
16,16,43.827,43.827,-0.002,0.0,12.9
17,17,44.093,44.093,0.002,0.0,10.001
18,18,43.053000000000004,43.053000000000004,0.002,-1.128,15.703
19,19,44.409,44.409,-0.003,0.0,10.77
20,20,40.736,39.981,-0.003,-18.03,22.05
21,21,44.468,44.468,-0.002,0.0,10.55
22,22,42.391999999999996,42.391999999999996,-0.002,-6.0120000000000005,18.067
23,23,44.632,44.632,1.6569999999999998,-1.038,9.942
24,24,43.555,43.555,0.005,0.0,13.895999999999999
25,25,42.533,42.533,0.005,-1.125,15.700999999999999
26,26,41.835,41.835,0.005,-11.329,20.026
27,27,42.536,42.536,0.005,-4.814,17.555999999999997
28,28,40.638000000000005,40.638000000000005,0.005,-26.434,24.185
29,29,41.839,41.839,0.005,-11.302999999999999,20.018
30,30,43.629,43.629,-0.004,0.0,13.62
31,31,44.967,44.967,5.771,-2.299,8.703
32,32,41.167,41.167,5.771,-19.164,22.36
33,33,41.856,41.856,5.771,-11.129000000000001,19.96
34,34,42.243,42.243,5.771,-7.331,18.595
35,35,43.355,42.583,-0.002,0.0,10.822000000000001
36,36,40.953,40.953,-0.002,-22.0,23.101999999999997
37,37,41.647,41.647,-0.002,-13.395999999999999,20.691
38,38,43.538000000000004,43.538000000000004,0.003,0.0,12.052
39,39,41.446999999999996,41.446999999999996,0.003,-15.704,21.388
40,40,43.791000000000004,43.791000000000004,-0.003,0.0,13.036
41,41,40.884,40.884,-0.003,-16.201,21.533
42,42,44.70399999999999,44.70399999999999,2.81,-1.227,9.682
43,43,41.108000000000004,41.108000000000004,2.81,-19.947,22.569000000000003
44,44,42.386,42.386,2.81,-6.061,18.087
45,45,40.696999999999996,40.696999999999996,2.81,-25.581999999999997,23.984
46,46,41.978,41.978,2.81,-9.868,19.528
47,47,41.095,41.095,2.81,-20.108,22.612
48,48,44.153,44.153,0.004,0.0,11.713
49,49,43.302,43.302,0.001,0.0,14.807
50,50,44.18,44.18,0.004,0.0,11.615
51,51,42.153,42.153,0.004,-8.165,18.913
52,52,40.858000000000004,40.858000000000004,0.004,-16.528,21.627
53,53,40.357,40.357,0.004,-10.507,25.144000000000002
54,54,40.814,40.814,0.004,-23.916999999999998,23.581
55,55,41.423,41.423,0.004,-10.207,19.646
56,56,40.93,40.93,0.004,-22.294,23.177
57,57,40.43,40.43,0.004,-29.528000000000002,24.895
58,58,41.986999999999995,41.986999999999995,0.004,-9.783999999999999,19.499000000000002
59,59,44.36,44.36,-0.004,0.0,10.950999999999999
60,60,43.638000000000005,43.638000000000005,-0.004,0.0,13.591
61,61,41.028999999999996,41.028999999999996,-0.004,-20.982,22.840999999999998
62,62,43.402,42.63,-0.002,0.0,12.55
63,63,42.62,42.62,-0.002,-4.144,17.255
64,64,42.00899999999999,42.00899999999999,-0.002,-9.562999999999999,19.421
65,65,41.161,41.161,-0.002,-19.239,22.38
66,66,44.492,43.713,5.8389999999999995,-2.5839999999999996,8.521
67,67,43.185,43.185,5.8389999999999995,-0.359,15.234000000000002
68,68,42.792,42.792,5.8389999999999995,-2.865,16.641
69,69,43.403,43.403,0.002,0.0,14.444
70,70,42.376000000000005,42.376000000000005,0.002,-6.145,18.122
71,71,43.217,43.217,0.002,-0.172,15.113
72,72,41.199,41.199,0.002,-18.755,22.249000000000002
73,73,42.247,42.247,0.002,-7.292999999999999,18.58
74,74,42.318999999999996,42.318999999999996,0.002,-6.653,18.328
75,75,41.106,41.106,0.002,-19.949,22.57
76,76,41.763999999999996,41.763999999999996,0.002,-12.102,20.28
77,77,41.167,41.167,0.002,-19.163,22.359
78,78,42.118,42.118,0.002,-8.497,19.035999999999998
79,79,42.167,42.167,0.002,-8.031,18.862000000000002
80,80,40.746,40.746,0.002,-24.866,23.811999999999998
81,81,44.87,44.87,5.138,-1.825,9.062999999999999
82,82,44.743,44.743,3.39,-1.347,9.536
83,83,40.341,40.341,3.39,-23.259,23.419
84,84,42.098,42.098,3.39,-8.696,19.109
85,85,44.28,44.28,-0.004,0.0,11.245999999999999
86,86,43.961999999999996,43.961999999999996,0.002,0.0,12.405
87,87,41.494,41.494,0.002,-15.152999999999999,21.226
88,88,40.937,40.937,0.002,-22.195999999999998,23.151999999999997
89,89,44.098,43.321999999999996,7.0760000000000005,-3.47,8.062000000000001
90,90,44.748999999999995,43.968999999999994,7.712999999999999,-4.785,7.561
91,91,42.47,42.47,7.712999999999999,-5.354,17.791
92,92,40.611999999999995,40.611999999999995,7.712999999999999,-26.803,24.272
93,93,42.147,42.147,7.712999999999999,-8.214,18.930999999999997
94,94,41.646,41.646,7.712999999999999,-13.404000000000002,20.694000000000003
95,95,40.797,40.797,7.712999999999999,-17.271,21.838
96,96,42.14,42.14,7.712999999999999,-8.292,18.96
97,97,43.198,43.198,7.712999999999999,-0.27699999999999997,15.182
98,98,42.812,42.044,-0.001,0.0,14.694
99,99,43.19,43.19,-0.001,-0.322,15.210999999999999
100,100,43.417,43.417,0.003,0.0,14.392000000000001
101,101,42.227,42.227,0.003,-7.462999999999999,18.646
102,102,40.394,40.394,0.003,-10.064,25.018
103,103,42.628,42.628,0.003,-4.078,17.224
104,104,40.342,40.342,0.003,-10.687999999999999,25.195
105,105,41.623000000000005,41.623000000000005,0.003,-13.655999999999999,20.772
106,106,40.946999999999996,40.19,0.003,-15.469000000000001,21.319000000000003
107,107,43.266999999999996,43.266999999999996,-0.002,0.0,14.935
108,108,44.793,44.793,3.98,-1.521,9.346
109,109,41.028999999999996,41.028999999999996,3.98,-20.979,22.84
110,110,40.14,39.389,3.98,-26.109,24.109
111,111,41.36600000000001,40.606,3.98,-10.806,19.851
112,112,42.953,42.953,3.98,-1.76,16.061
113,113,43.849,43.849,0.001,0.0,12.82
114,114,44.781000000000006,44.781000000000006,3.969,-1.48,9.389
115,115,40.546,40.546,3.969,-27.771,24.496
116,116,43.718999999999994,43.718999999999994,-0.004,0.0,13.298
117,117,44.41,44.41,-0.003,0.0,10.763
118,118,40.056999999999995,40.056999999999995,-0.003,-14.276,26.164
119,119,41.373000000000005,41.373000000000005,-0.003,-16.588,21.644000000000002
120,120,42.486000000000004,42.486000000000004,-0.003,-5.223,17.734
121,121,42.147,41.383,-0.003,-3.7710000000000004,17.081
122,122,40.718,40.718,-0.003,-25.275,23.91
123,123,41.911,41.911,-0.003,-10.565,19.769000000000002
124,124,40.724000000000004,39.969,-0.003,-18.18,22.090999999999998
125,125,44.816,44.816,4.546,-1.6059999999999999,9.262
126,126,40.815,40.815,4.546,-17.045,21.774
127,127,42.933,42.933,4.546,-1.905,16.14
128,128,43.788999999999994,43.788999999999994,-0.003,0.0,13.042
129,129,41.119,41.119,-0.003,-13.485,20.719
130,130,40.926,40.926,-0.003,-22.375999999999998,23.197
131,131,42.663000000000004,42.663000000000004,-0.003,-3.823,17.105
132,132,44.99100000000001,44.99100000000001,5.792000000000001,-2.436,8.613
133,133,43.496,43.496,0.003,0.0,12.202
134,134,44.008,44.008,0.002,0.0,12.243
135,135,43.092,43.092,0.002,-0.897,15.565999999999999
136,136,41.721000000000004,41.721000000000004,0.002,-12.587,20.436
137,137,41.865,41.865,0.002,-11.035,19.928
138,138,41.305,41.305,0.002,-17.439,21.885
139,139,43.097,43.097,0.002,-0.867,15.548
140,140,41.41,41.41,0.002,-16.148,21.518
141,141,41.973,41.973,0.002,-9.92,19.546
142,142,44.405,44.405,-0.003,0.0,10.782
143,143,41.555,41.555,-0.003,-14.435,21.011
144,144,44.343,44.343,-0.004,0.0,11.017000000000001
145,145,41.766000000000005,41.766000000000005,-0.004,-12.078,20.272000000000002
146,146,42.481,42.481,-0.004,-5.252000000000001,17.747
147,147,44.236999999999995,44.236999999999995,-0.004,0.0,11.398
148,148,40.936,40.936,-0.004,-22.215999999999998,23.156999999999996
149,149,42.185,42.185,-0.004,-7.862,18.799
150,150,41.946999999999996,41.946999999999996,-0.004,-10.197000000000001,19.643
151,151,43.672,43.672,-0.004,0.0,13.467
152,152,40.271,40.271,-0.004,-11.558,25.436999999999998
153,153,43.681000000000004,43.681000000000004,-0.004,0.0,13.435
154,154,41.934,41.934,-0.004,-10.325999999999999,19.687
155,155,44.768,44.768,3.957,-1.4280000000000002,9.445
156,156,41.229,41.229,3.957,-18.374000000000002,22.145
157,157,40.844,40.844,3.957,-16.685,21.671999999999997
158,158,41.588,41.588,3.957,-14.061,20.897
159,159,43.825,43.825,-0.003,0.0,12.908
160,160,43.504,43.504,0.004,0.0,14.079
161,161,44.967,44.967,5.771,-2.305,8.699
162,162,42.019,42.019,5.771,-9.46,19.385
163,163,40.364000000000004,40.364000000000004,5.771,-10.42,25.119
164,164,44.553999999999995,44.553999999999995,0.002,0.0,10.232000000000001
165,165,43.792,43.792,-0.003,0.0,13.027999999999999
166,166,41.747,41.747,-0.003,-7.108,18.508
167,167,40.882,40.125,-0.003,-16.237000000000002,21.543000000000003
168,168,42.923,42.923,-0.003,-1.969,16.175
169,169,44.202,44.202,-0.004,0.0,11.529000000000002
170,170,44.082,44.082,0.003,0.0,11.972000000000001
171,171,42.513000000000005,42.513000000000005,0.003,-4.988,17.632
172,172,41.8,41.8,0.003,-11.714,20.154
173,173,40.94,40.184,0.003,-15.54,21.34
174,174,41.246,41.246,0.003,-18.177,22.09
175,175,43.485,43.485,0.003,0.0,14.148
176,176,41.088,41.088,0.003,-20.208,22.638
177,177,44.256,44.256,3.992,-1.469,9.401
178,178,40.56,40.56,3.992,-27.565,24.449
179,179,44.365,44.365,-0.003,0.0,10.927999999999999
180,180,40.541,40.541,-0.003,-27.853,24.515
181,181,42.76,42.76,-0.003,-3.092,16.754
182,182,41.215,41.215,-0.003,-18.542,22.191
183,183,41.986999999999995,41.986999999999995,-0.003,-9.774,19.495
184,184,44.695,44.695,2.802,-1.202,9.713
185,185,43.298,43.298,-0.002,0.0,12.925
186,186,40.397,39.644,-0.002,-22.473000000000003,23.221999999999998
187,187,42.218,42.218,-0.002,-7.551,18.68
188,188,41.976000000000006,41.976000000000006,-0.002,-9.898,19.539
189,189,41.343999999999994,41.343999999999994,-0.002,-16.944000000000003,21.746
190,190,43.568999999999996,43.568999999999996,-0.005,0.0,13.84
191,191,43.301,43.301,-0.002,0.0,14.815
192,192,41.288999999999994,41.288999999999994,-0.002,-17.634,21.94
193,193,40.563,40.563,-0.002,-27.528000000000002,24.44
194,194,40.495,40.495,-0.002,-21.159000000000002,22.886
195,195,40.738,40.738,-0.002,-24.98,23.84
196,196,40.647,40.647,-0.002,-26.302,24.154
197,197,43.611999999999995,43.611999999999995,-0.004,0.0,13.683
198,198,44.172,44.172,-0.005,0.0,11.637
199,199,43.575,43.575,0.005,0.0,13.822000000000001
200,200,40.344,40.344,0.005,-10.655,25.186
201,201,42.489,42.489,0.005,-1.3980000000000001,15.859000000000002
202,202,40.818000000000005,40.818000000000005,0.005,-23.855999999999998,23.566
203,203,43.333999999999996,43.333999999999996,-0.002,0.0,12.799000000000001
204,204,43.982,43.982,0.002,0.0,12.333
205,205,40.163000000000004,40.163000000000004,0.002,-25.747,24.023000000000003
206,206,44.117,44.117,1.689,-1.057,9.914
207,207,43.248999999999995,43.248999999999995,-0.002,0.0,14.999
208,208,41.327,41.327,-0.002,-17.163,21.808000000000003
209,209,42.355,42.355,-0.002,-6.327999999999999,18.197
210,210,41.239,41.239,-0.002,-18.262999999999998,22.114
211,211,44.708999999999996,44.708999999999996,3.36,-1.244,9.66
212,212,41.493,41.493,3.36,-15.175,21.232
213,213,41.622,41.622,3.36,-13.663,20.774
214,214,43.26,43.26,-0.003,0.0,13.065999999999999
215,215,42.006,42.006,-0.003,-9.59,19.430999999999997
216,216,42.027,42.027,-0.003,-9.378,19.355
217,217,43.048,43.048,-0.003,-1.161,15.722000000000001
218,218,41.42,41.42,-0.003,-16.023,21.480999999999998
219,219,44.295,44.295,-0.004,0.0,11.189
220,220,44.771,44.771,3.96,-1.445,9.426
221,221,43.614,43.614,-0.004,0.0,13.675999999999998
222,222,42.45,42.45,-0.004,-5.52,17.861
223,223,40.472,40.472,-0.004,-21.455,22.963
224,224,40.909,40.909,-0.004,-22.611,23.256999999999998
225,225,40.259,40.259,-0.004,-24.396,23.698
226,226,41.481,41.481,-0.004,-15.309000000000001,21.272
227,227,44.667,44.667,2.2319999999999998,-1.125,9.816
228,228,43.581,43.581,-0.005,0.0,13.798
229,229,41.716,41.716,-0.005,-12.640999999999998,20.453
230,230,43.438,43.438,0.003,0.0,14.315999999999999
231,231,44.916000000000004,44.916000000000004,5.178999999999999,-2.036,8.892000000000001
232,232,43.099,43.099,5.178999999999999,-0.857,15.542
233,233,41.339,41.339,5.178999999999999,-17.005,21.763
234,234,42.251000000000005,42.251000000000005,5.178999999999999,-7.2589999999999995,18.567
235,235,40.321,40.321,5.178999999999999,-10.958,25.271
236,236,42.347,42.347,5.178999999999999,-6.391,18.222
237,237,40.477,40.477,5.178999999999999,-28.83,24.738000000000003
238,238,43.2,43.2,5.178999999999999,-0.27,15.177
239,239,43.341,43.341,-0.001,0.0,14.67
240,240,43.31399999999999,43.31399999999999,-0.002,0.0,14.767999999999999
241,241,43.964,43.964,-0.002,0.0,12.405
242,242,44.703,44.703,2.8089999999999997,-1.225,9.684
243,243,44.727,44.727,3.3760000000000003,-1.2990000000000002,9.593
244,244,43.619,43.619,-0.004,0.0,13.661
245,245,44.535,44.535,6.425,-2.861,8.362
246,246,42.092,42.092,6.425,-8.752,19.13
247,247,40.288000000000004,40.288000000000004,6.425,-11.362,25.383000000000003
248,248,41.913000000000004,41.913000000000004,6.425,-10.542,19.761
249,249,40.979,40.979,6.425,-15.073,21.201999999999998
250,250,40.378,40.378,6.425,-10.248,25.070999999999998
251,251,41.492,41.492,6.425,-15.179,21.234
252,252,40.769,40.769,6.425,-24.549,23.735
253,253,42.457,41.69,6.425,-1.6,15.972000000000001
254,254,41.846000000000004,41.846000000000004,6.425,-11.235,19.995
255,255,41.343,41.343,6.425,-16.955,21.749000000000002
256,256,41.11600000000001,41.11600000000001,6.425,-19.842,22.541
257,257,41.784,41.784,6.425,-11.888,20.211
258,258,43.675,43.675,-0.004,0.0,13.455
259,259,44.601000000000006,44.601000000000006,0.002,0.0,10.058
260,260,41.208,40.449,0.002,-12.484000000000002,20.403
261,261,44.534,44.534,-0.002,0.0,10.309000000000001
262,262,43.541000000000004,43.541000000000004,0.004,0.0,13.948
263,263,44.527,44.527,6.417999999999999,-2.815,8.388
264,264,44.181999999999995,44.181999999999995,-0.005,0.0,11.600999999999999
265,265,42.565,41.798,-0.005,-0.9279999999999999,15.584000000000001
266,266,41.36600000000001,41.36600000000001,-0.005,-16.684,21.671999999999997
267,267,44.626999999999995,44.626999999999995,1.107,-1.023,9.964
268,268,44.968999999999994,44.968999999999994,9.007,-8.118,6.737
269,269,40.382,40.382,9.007,-22.67,23.272
270,270,42.515,42.515,9.007,-4.987,17.632
271,271,44.449,44.449,-0.003,0.0,10.619000000000002
272,272,42.902,42.902,0.003,0.0,14.367
273,273,42.621,42.621,0.003,-4.14,17.253
274,274,40.033,39.282,0.003,-27.684,24.476
275,275,40.186,39.434,0.003,-25.45,23.951999999999998
276,276,40.548,40.548,0.003,-27.750999999999998,24.491999999999997
277,277,44.595,44.595,6.479,-3.305,8.138
278,278,43.7,43.7,-0.004,0.0,13.365
279,279,40.698,40.698,-0.004,-25.565,23.98
280,280,44.243,44.243,-0.004,0.0,11.38
281,281,44.801,44.801,3.986,-1.548,9.32
282,282,44.467,44.467,-0.002,0.0,10.554
283,283,41.394,41.394,-0.002,-16.338,21.572
284,284,41.501000000000005,41.501000000000005,-0.002,-15.082,21.205
285,285,42.79,42.79,-0.002,-2.8810000000000002,16.649
286,286,42.013999999999996,42.013999999999996,-0.002,-9.513,19.403
287,287,42.45,42.45,-0.002,-5.521,17.862000000000002
288,288,43.419,43.419,-0.002,0.0,12.485999999999999
289,289,40.847,40.847,-0.002,-23.456,23.468000000000004
290,290,44.751000000000005,44.751000000000005,7.7139999999999995,-4.809,7.553
291,291,40.821,40.821,7.7139999999999995,-16.979,21.756
292,292,40.783,40.783,7.7139999999999995,-24.340999999999998,23.685
293,293,41.229,40.47,7.7139999999999995,-12.261,20.332
294,294,40.635,40.635,7.7139999999999995,-26.474,24.195
295,295,42.766000000000005,42.766000000000005,7.7139999999999995,-3.053,16.734
296,296,41.22,41.22,7.7139999999999995,-18.5,22.179000000000002
297,297,43.071000000000005,43.071000000000005,7.7139999999999995,-1.026,15.642999999999999
298,298,44.893,44.893,5.1579999999999995,-1.9280000000000002,8.977
299,299,40.486,40.486,5.1579999999999995,-28.698,24.708000000000002
300,300,41.358999999999995,41.358999999999995,5.1579999999999995,-10.873,19.873
301,301,44.942,44.942,5.747999999999999,-2.165,8.796
302,302,40.218,40.218,5.747999999999999,-12.219000000000001,25.618000000000002
303,303,42.695,42.695,5.747999999999999,-3.5810000000000004,16.991
304,304,42.598,42.598,5.747999999999999,-4.316,17.333
305,305,43.93,43.155,-0.002,0.0,10.607000000000001
306,306,42.273999999999994,42.273999999999994,-0.002,-7.051,18.486
307,307,41.836999999999996,41.836999999999996,-0.002,-11.321,20.024
308,308,44.657,43.876999999999995,7.082000000000001,-3.841,7.903
309,309,42.825,42.056999999999995,-0.002,0.0,12.770999999999999
310,310,41.31100000000001,41.31100000000001,-0.002,-17.355999999999998,21.862
311,311,43.895,43.895,-0.002,0.0,12.657
312,312,40.506,40.506,-0.002,-28.401999999999997,24.641
313,313,44.066,44.066,0.003,0.0,12.03
314,314,41.927,41.927,0.003,-10.390999999999998,19.709
315,315,41.707,40.946,0.003,-7.4510000000000005,18.641
316,316,43.909,43.909,-0.002,0.0,12.606
317,317,43.078,42.308,-0.004,0.0,13.727
318,318,43.648,43.648,-0.004,0.0,13.552999999999999
319,319,43.465,43.465,-0.005,0.0,14.216
320,320,44.32,44.32,-0.004,0.0,11.097000000000001
321,321,44.343999999999994,43.567,4.617,-1.8130000000000002,9.073
322,322,43.449,42.677,0.003,0.0,12.372
323,323,43.891999999999996,43.891999999999996,-0.002,0.0,12.667
324,324,44.825,44.825,8.329,-5.727,7.281000000000001
325,325,42.31399999999999,42.31399999999999,8.329,-6.697,18.345
326,326,43.708,43.708,-0.004,0.0,13.34
327,327,42.785,42.785,-0.004,-2.912,16.664
328,328,42.94,42.17100000000001,0.003,0.0,14.23
329,329,42.027,42.027,0.003,-9.38,19.355999999999998
330,330,41.64,41.64,0.003,-13.478,20.717
331,331,40.882,40.882,0.003,-22.975,23.348000000000003
332,332,44.718,44.718,3.367,-1.2690000000000001,9.628
333,333,43.431000000000004,43.431000000000004,0.002,0.0,14.342
334,334,44.34,44.34,-0.004,0.0,11.024000000000001
335,335,43.236999999999995,42.466,-0.003,0.0,13.154000000000002
336,336,40.705999999999996,40.705999999999996,-0.003,-25.451,23.953000000000003
337,337,43.09,43.09,-0.003,-0.91,15.574000000000002
338,338,40.62,40.62,-0.003,-26.691999999999997,24.246
339,339,43.836999999999996,43.836999999999996,0.0,0.0,12.860999999999999
340,340,44.083,44.083,0.004,0.0,11.965
341,341,41.739,41.739,0.004,-7.171,18.533
342,342,41.551,41.551,0.004,-14.484000000000002,21.025
343,343,43.792,43.018,-0.004,0.0,11.117
344,344,40.564,40.564,-0.004,-27.515,24.436999999999998
345,345,40.369,40.369,-0.004,-10.36,25.101999999999997
346,346,41.85,41.85,-0.004,-11.187999999999999,19.979
347,347,43.161,43.161,-0.004,-0.485,15.314
