Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,28.56,0.72,0.7,61.72,6.86,-264.04,73.84
1,35.85,0.64,0.7,59.6,31.92,-180.78,57.59
2,34.21,0.83,0.7,51.39,17.03,-192.39,63.52
3,29.93,0.73,0.7,23.07,12.27,-269.73,74.23
4,24.69,0.46,0.7,50.47,22.59,-300.62,81.31
5,26.11,0.77,0.7,58.79,17.09,-336.57,78.56
6,43.57,0.65,0.7,50.85,19.68,-51.73,33.6
7,30.47,0.99,0.7,37.23,15.4,-212.28,70.17
8,35.01,0.54,0.7,37.24,18.82,-166.01,61.37
9,45.95,0.7,0.7,39.24,22.52,-53.19,33.82
10,49.1,0.92,0.7,48.8,20.1,-20.42,17.69
11,46.41,0.4,0.7,36.18,20.77,-1.17,10.73
12,19.88,0.67,0.7,55.22,13.56,-410.3,87.82
13,35.43,0.89,0.7,35.86,22.99,-182.07,57.7
14,50.7,0.81,0.7,55.17,11.09,-41.33,26.91
15,59.19,0.64,0.7,51.57,25.17,-1042.68,-10.04
16,43.15,0.52,0.7,60.78,22.19,-59.65,29.95
17,47.61,0.75,0.7,41.92,20.31,-56.7,29.49
18,32.15,0.8,0.7,55.02,30.59,-232.96,71.67
19,23.04,0.82,0.7,66.31,19.49,-310.99,81.96
20,36.87,0.68,0.7,51.02,16.55,-208.59,59.89
21,31.87,1.01,0.7,49.12,21.02,-271.26,69.39
22,44.76,0.61,0.7,44.66,26.13,-54.2,33.97
23,34.23,0.88,0.7,52.07,15.6,-164.12,61.21
24,54.73,0.78,0.7,58.12,22.16,0,7.72
25,25.1,0.54,0.7,74.67,26.55,-329.57,78.12
26,34.04,0.9,0.7,38.32,24.46,-193.28,63.6
27,34.04,0.46,0.7,48.52,23.76,-174.68,57.07
28,57.09,0.57,0.7,45.88,22.32,-1034.49,-7.52
29,13.5,0.53,0.7,17.92,23.97,-442.17,94.52
30,37.41,0.63,0.7,50.88,25.85,-120.59,52.1
31,31.57,0.73,0.7,31.44,23.85,-261.6,68.71
32,49.91,0.99,0.7,42.0,21.29,-39.71,31.69
33,47.12,0.81,0.7,54.12,24.42,-40.53,31.82
34,48.82,0.8,0.7,64.57,16.06,-38.12,26.32
35,45.47,0.73,0.7,44.25,21.74,-30.71,30.13
36,28.56,0.86,0.7,60.71,24.74,-310.43,76.91
37,32.5,0.81,0.7,64.53,17.25,-243.41,67.41
38,50.14,0.44,0.7,55.06,17.63,-39.16,4.29
39,34.06,0.75,0.7,53.79,20.63,-176.99,62.28
40,15.07,0.5,0.7,50.17,20.73,-405.0,92.52
41,35.97,0.88,0.7,50.86,19.17,-158.48,60.73
42,36.92,0.47,0.7,56.64,23.76,-107.06,45.64
43,5.7,0.76,0.7,50.34,26.44,-450.74,100.04
44,44.51,0.92,0.7,52.6,10.04,-83.89,43.0
45,43.95,0.77,0.7,52.95,11.36,-109.02,45.85
46,46.94,0.8,0.7,69.27,12.62,-58.64,34.62
47,30.91,0.76,0.7,33.68,16.66,-270.68,69.35
48,34.32,1.04,0.7,26.4,21.28,-220.11,65.68
49,44.57,0.96,0.7,20.59,20.92,-67.52,35.88
50,42.52,0.56,0.7,32.11,21.85,-64.95,35.52
51,30.61,0.55,0.7,41.75,25.48,-267.62,69.14
52,33.22,0.86,0.7,43.41,21.91,-200.6,64.17
53,29.85,0.83,0.7,54.07,25.92,-261.46,73.66
54,37.63,0.78,0.7,48.79,21.46,-140.98,54.05
55,57.51,0.56,0.7,54.75,24.95,-1040.93,-10.12
56,27.36,0.64,0.7,56.52,27.73,-254.87,73.21
57,17.51,0.66,0.7,52.42,21.22,-372.31,90.7
58,53.11,0.77,0.7,58.97,22.5,-0.91,10.57
59,38.62,0.83,0.7,46.23,18.34,-160.19,55.8
60,46.25,0.66,0.7,50.68,21.32,-49.08,28.25
61,31.31,0.56,0.7,48.65,26.57,-258.19,68.47
62,39.53,0.8,0.7,53.43,24.24,-158.53,55.66
63,27.33,0.6,0.7,46.17,14.49,-268.34,74.13
64,56.31,0.57,0.7,44.76,20.34,-1038.67,-10.09
65,34.76,0.45,0.7,58.0,17.72,-175.87,57.17
66,51.44,0.5,0.7,46.07,14.62,0,5.9
67,22.67,0.51,0.7,45.82,23.89,-336.98,83.55
68,35.22,0.62,0.7,25.58,16.31,-205.59,59.65
69,45.49,0.71,0.7,43.39,17.89,-68.99,36.08
70,66.53,0.76,0.7,63.39,19.02,-1068.53,-10.08
71,52.55,0.55,0.7,70.7,21.43,-338.47,0.93
72,58.79,0.57,0.7,69.7,12.48,-1045.99,-10.26
73,48.8,0.92,0.7,26.34,18.72,-33.88,30.69
74,23.72,0.82,0.7,63.36,12.13,-307.75,81.76
75,42.7,0.72,0.7,53.37,23.39,-65.32,40.7
76,53.04,0.74,0.7,45.82,28.25,0,9.98
77,40.29,0.65,0.7,40.45,19.36,-98.57,44.7
78,38.34,0.56,0.7,68.42,22.11,-69.11,41.19
79,38.5,0.63,0.7,45.41,15.75,-124.2,47.45
80,43.0,0.61,0.7,44.67,25.62,-82.7,37.89
81,55.54,0.63,0.7,49.34,23.13,-1026.9,-2.53
82,25.62,0.66,0.7,48.76,18.6,-309.99,81.9
83,46.5,0.77,0.7,70.1,14.74,-32.42,25.23
84,46.27,0.73,0.7,41.31,24.26,-34.67,30.83
85,45.3,0.72,0.7,69.25,34.67,-88.57,38.62
86,31.76,0.8,0.7,25.98,14.15,-201.83,64.27
87,15.4,0.63,0.7,52.45,23.95,-443.52,94.59
88,21.79,0.48,0.7,38.95,23.47,-356.74,84.73
89,35.98,0.88,0.7,53.95,26.7,-192.66,63.55
90,32.44,0.52,0.7,56.95,18.59,-172.52,61.91
91,30.99,0.78,0.7,51.64,24.22,-210.05,70.0
92,44.54,0.74,0.7,25.92,31.39,-66.59,40.86
93,36.36,0.73,0.7,20.82,17.84,-179.37,57.47
94,53.85,0.51,0.7,51.4,21.96,-1028.07,-3.41
95,36.94,0.78,0.7,61.59,19.84,-170.45,61.74
