Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,40.48,0.54,0.7,38.39,18.34,-109.27,45.88
1,41.26,0.78,0.7,63.74,19.34,-103.66,50.38
2,32.93,0.44,0.7,71.17,17.96,-158.55,55.66
3,28.99,0.8,0.7,39.17,5.69,-242.4,72.34
4,43.5,0.88,0.7,41.77,11.84,-116.66,46.67
5,41.21,0.56,0.7,46.01,17.14,-84.84,43.12
6,58.1,0.79,0.7,55.82,13.13,-1035.25,-6.3
7,59.33,0.76,0.7,46.25,20.43,-1038.65,-9.26
8,48.13,0.66,0.7,68.23,10.58,-34.12,30.73
9,28.02,0.71,0.7,46.53,16.18,-297.63,76.08
10,20.73,0.48,0.7,32.52,22.37,-351.02,84.39
11,49.4,0.57,0.7,52.72,23.65,-11.42,15.06
12,37.39,0.88,0.7,51.42,18.97,-189.57,58.33
13,58.21,0.85,0.7,45.17,23.48,-38.53,4.31
14,31.61,0.57,0.7,62.84,22.83,-245.15,67.53
15,10.71,0.75,0.7,58.77,26.62,-429.49,93.84
16,54.15,0.75,0.7,50.22,21.79,0,7.29
17,34.6,0.61,0.7,54.5,16.39,-169.97,61.7
18,46.17,0.77,0.7,45.06,15.35,-68.18,35.97
19,38.24,0.58,0.7,52.65,16.32,-110.41,46.0
20,37.38,0.81,0.7,30.5,18.92,-183.16,57.79
21,53.43,0.65,0.7,46.1,24.73,0,6.98
22,30.83,0.72,0.7,43.44,29.86,-268.53,69.2
23,21.7,0.78,0.7,40.43,23.68,-337.56,83.59
24,26.52,0.88,0.7,44.0,15.52,-335.82,78.51
25,51.28,0.63,0.7,56.27,24.02,0,9.82
26,45.22,0.8,0.7,59.93,19.27,-74.21,41.83
27,43.35,0.64,0.7,39.96,13.4,-76.85,42.15
28,40.41,0.87,0.7,32.23,15.5,-144.55,49.48
29,48.96,0.72,0.7,54.96,25.27,-35.32,30.94
30,45.7,0.68,0.7,31.56,26.67,-82.87,37.91
31,23.21,0.54,0.7,27.79,18.74,-286.88,80.44
32,36.97,0.78,0.7,27.28,13.76,-199.65,59.16
33,35.92,0.43,0.7,43.37,26.97,-122.2,52.26
34,36.69,0.69,0.7,63.35,17.59,-170.04,56.67
35,52.34,0.61,0.7,44.25,24.03,0,7.54
36,50.03,0.65,0.7,51.35,10.16,-27.54,19.44
37,34.05,0.93,0.7,25.89,17.91,-157.33,60.63
38,48.29,0.74,0.7,58.72,13.31,-36.95,26.1
39,39.4,0.8,0.7,57.63,26.79,-158.42,55.65
40,37.74,0.82,0.7,44.18,24.97,-162.13,55.98
41,44.04,0.91,0.7,51.08,19.06,-102.12,45.1
42,51.8,0.81,0.7,28.74,20.35,-12.31,15.35
43,41.62,0.68,0.7,34.07,14.66,-100.34,50.04
44,26.43,0.62,0.7,52.09,15.05,-347.81,79.26
45,45.54,0.96,0.7,34.67,19.46,-61.54,40.2
46,53.91,0.68,0.7,64.0,15.19,-76.08,3.25
47,26.36,0.58,0.7,66.6,20.1,-301.87,76.36
48,34.6,0.79,0.7,45.9,21.71,-190.95,58.45
49,51.27,0.79,0.7,17.31,18.95,-9.48,14.39
50,40.1,0.65,0.7,24.78,25.01,-113.77,51.42
51,38.94,0.69,0.7,59.07,21.9,-118.36,51.88
52,22.79,0.97,0.7,51.38,17.49,-347.19,84.17
53,58.23,0.49,0.7,36.13,15.75,-1048.66,-10.04
54,37.82,0.58,0.7,44.71,19.91,-132.77,53.28
55,42.57,0.81,0.7,36.81,19.99,-119.37,46.95
56,40.61,0.63,0.7,58.93,26.22,-87.08,43.38
57,51.06,0.64,0.7,37.38,13.0,-8.61,14.08
58,43.69,0.35,0.7,51.64,20.35,-23.07,23.27
59,52.42,0.73,0.7,31.94,20.91,-24.31,18.68
60,50.91,0.78,0.7,46.57,25.5,-51.6,28.67
61,42.9,0.79,0.7,60.73,22.47,-137.48,48.79
62,25.57,0.71,0.7,30.33,15.6,-342.83,78.95
63,20.78,0.66,0.7,30.18,17.33,-345.95,84.09
64,39.6,0.83,0.7,38.64,20.88,-104.45,50.46
65,24.87,0.48,0.7,63.55,20.8,-356.93,79.81
66,26.35,0.72,0.7,52.0,13.28,-344.93,79.08
67,46.16,0.54,0.7,63.02,18.4,-29.94,24.74
68,33.63,0.43,0.7,46.3,18.67,-176.38,62.23
69,29.81,0.64,0.7,39.05,18.94,-239.75,72.15
70,35.13,0.52,0.7,55.65,20.21,-112.79,51.32
71,27.33,0.62,0.7,36.93,25.46,-282.05,75.05
72,44.71,0.78,0.7,48.36,21.2,-67.99,35.94
73,24.62,0.79,0.7,51.39,19.22,-303.36,81.49
74,35.23,0.95,0.7,33.33,26.03,-152.6,60.23
75,49.02,0.78,0.7,48.56,25.83,-31.9,30.34
76,56.84,0.91,0.7,40.84,19.82,0,6.01
77,35.85,0.86,0.7,48.27,23.39,-190.71,63.39
78,29.25,0.54,0.7,61.01,19.91,-249.1,72.81
79,40.17,0.92,0.7,58.88,19.96,-173.43,56.96
80,20.43,0.7,0.7,60.36,23.86,-407.78,87.67
81,40.71,0.8,0.7,45.91,15.4,-146.32,49.65
82,34.11,0.61,0.7,58.79,23.69,-194.87,58.77
83,30.37,0.64,0.7,48.16,19.8,-266.2,69.04
84,52.15,0.89,0.7,44.28,13.1,-51.66,28.68
85,39.25,0.46,0.7,44.38,15.83,-103.19,50.33
86,53.55,0.53,0.7,42.88,21.56,-1024.48,-1.73
87,38.02,0.95,0.7,56.65,14.68,-198.39,59.06
88,56.0,0.79,0.7,32.62,24.45,0,5.86
89,28.69,0.59,0.7,45.85,30.32,-258.26,73.44
90,42.19,0.62,0.7,60.06,16.8,-69.44,41.23
91,36.89,0.65,0.7,34.81,14.12,-133.98,53.39
92,45.58,0.58,0.7,60.04,16.03,-56.01,34.24
93,35.71,0.71,0.7,40.75,27.73,-177.46,62.32
94,8.19,0.61,0.7,53.23,14.64,-539.7,99.5
95,28.97,0.86,0.7,33.52,21.84,-249.22,72.82
96,53.12,0.52,0.7,25.56,17.98,-444.94,0.5
97,38.25,0.55,0.7,36.81,20.7,-147.96,49.8
98,46.63,0.49,0.7,43.93,25.33,-23.3,18.43
99,35.37,0.7,0.7,53.7,30.01,-209.19,59.93
100,34.38,0.82,0.7,38.33,24.64,-204.94,64.51
101,43.33,0.76,0.7,80.95,24.14,-73.12,41.69
102,27.75,0.72,0.7,52.45,16.76,-252.15,73.02
103,56.78,0.97,0.7,54.31,22.2,-19.31,22.41
104,25.72,0.82,0.7,57.52,26.58,-337.0,78.59
105,48.22,0.43,0.7,49.97,24.12,-0.41,10.27
106,25.19,0.9,0.7,40.97,19.43,-290.13,80.65
107,39.4,0.48,0.7,39.69,17.54,-152.73,55.13
108,54.56,0.62,0.7,46.59,23.41,-1023.81,-0.81
109,54.42,0.76,0.7,47.12,21.16,-6.22,13.15
110,26.7,0.5,0.7,54.17,19.32,-337.33,78.61
111,53.18,0.55,0.7,19.21,15.87,0,8.52
112,33.28,0.75,0.7,36.03,17.73,-177.91,62.35
113,35.04,0.63,0.7,51.94,18.35,-189.1,58.29
114,30.75,0.64,0.7,60.68,21.71,-279.27,69.95
115,36.11,0.63,0.7,38.07,22.63,-159.1,60.78
116,62.38,0.49,0.7,45.69,18.5,-1061.96,-10.43
117,30.12,0.49,0.7,60.48,24.85,-166.79,61.43
118,23.63,0.64,0.7,51.86,20.53,-344.18,83.99
119,34.25,0.72,0.7,68.55,13.82,-224.75,66.03
120,36.88,0.61,0.7,49.47,18.75,-122.78,52.31
121,23.64,0.71,0.7,79.14,16.14,-346.87,84.15
122,37.02,0.71,0.7,56.91,25.05,-163.41,61.15
123,39.97,0.8,0.7,46.08,14.45,-140.57,49.09
124,19.25,0.49,0.7,58.76,13.2,-417.32,88.21
125,30.03,0.43,0.7,38.64,23.77,-235.79,71.87
126,49.17,0.67,0.7,71.57,27.98,-35.67,25.86
127,52.86,0.78,0.7,46.95,22.81,-12.41,20.67
128,53.59,0.66,0.7,54.99,13.96,0,5.06
129,57.77,0.5,0.7,54.11,18.48,-1041.7,-10.05
130,46.24,0.69,0.7,39.49,25.77,-19.63,22.49
131,18.32,0.86,0.7,70.32,12.51,-392.17,86.79
132,47.8,0.46,0.7,52.11,15.57,-0.19,10.13
133,37.93,0.57,0.7,40.2,14.2,-146.98,54.61
134,28.46,0.55,0.7,53.58,18.36,-266.38,74.0
135,38.28,0.7,0.7,59.0,23.13,-113.42,51.38
136,23.82,0.78,0.7,53.77,26.73,-325.02,82.83
137,25.43,0.71,0.7,59.52,22.24,-341.96,78.9
138,39.45,0.36,0.7,50.15,20.96,-31.67,30.3
139,28.9,0.61,0.7,52.9,24.7,-276.97,74.71
140,51.7,0.55,0.7,43.01,19.55,-34.26,4.49
