Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,50.79,0.72,0.7,55.01,19.87,-13.65,15.77
1,47.87,0.43,0.7,36.11,16.72,-17.77,16.98
2,37.91,0.53,0.7,55.36,16.64,-114.09,46.39
3,27.57,0.71,0.7,58.35,22.59,-346.62,79.18
4,46.0,0.77,0.7,48.81,19.63,-84.67,38.14
5,20.58,0.56,0.7,71.27,19.83,-352.05,84.46
6,39.67,0.53,0.7,43.54,16.47,-85.55,43.2
7,50.77,0.84,0.7,55.44,13.46,-32.8,30.5
8,33.54,0.75,0.7,50.02,20.25,-190.7,63.39
9,30.16,0.77,0.7,62.81,16.55,-237.06,71.96
10,38.55,0.86,0.7,33.44,9.53,-173.8,57.0
11,21.68,0.52,0.7,67.8,29.71,-357.65,79.86
12,36.52,0.7,0.7,50.74,25.96,-180.06,57.53
13,42.68,0.39,0.7,43.32,10.35,-73.85,41.78
14,38.22,0.83,0.7,42.58,23.14,-135.72,53.56
15,25.16,0.71,0.7,55.31,16.4,-299.15,76.18
16,37.44,1.0,0.7,47.28,17.23,-176.18,57.2
17,34.78,0.85,0.7,43.02,21.43,-177.83,62.35
18,41.08,0.72,0.7,30.78,28.38,-130.41,48.08
19,17.87,0.44,0.7,76.36,23.0,-342.77,83.9
20,17.76,0.74,0.7,36.19,26.88,-436.59,89.27
21,47.03,0.66,0.7,42.28,26.39,-35.42,25.82
22,39.72,0.8,0.7,39.71,26.04,-116.43,51.68
23,38.36,0.67,0.7,40.81,12.28,-149.55,54.84
24,51.28,0.71,0.7,30.63,15.0,-14.84,16.13
25,40.62,0.85,0.7,44.71,20.59,-136.54,48.69
26,32.03,0.95,0.7,50.36,18.58,-235.87,66.85
27,49.71,0.47,0.7,33.31,23.48,0,8.4
28,34.83,0.93,0.7,28.9,20.49,-170.19,61.72
29,19.89,0.67,0.7,35.8,21.51,-433.52,89.1
30,39.68,0.56,0.7,50.95,15.17,-148.55,49.86
31,49.52,0.61,0.7,52.49,14.74,-18.82,17.27
32,47.12,0.7,0.7,33.66,29.94,-42.32,32.12
33,37.34,0.71,0.7,49.58,22.65,-162.05,55.97
34,41.1,0.67,0.7,35.1,19.75,-98.26,44.67
35,58.18,0.74,0.7,40.09,20.46,-1026.69,-1.72
36,42.39,0.62,0.7,52.14,22.14,-65.7,35.63
37,46.28,0.59,0.7,46.2,17.76,-29.83,19.96
38,34.1,1.07,0.7,53.85,14.57,-208.97,64.82
39,51.21,0.69,0.7,40.97,24.2,-17.89,17.01
40,37.07,0.71,0.7,51.43,20.3,-180.69,57.59
41,28.8,0.67,0.7,53.92,10.41,-265.54,73.94
42,39.61,0.82,0.7,56.47,21.14,-182.19,57.71
43,39.69,0.71,0.7,73.54,18.55,-100.31,50.03
44,23.87,0.74,0.7,53.05,23.96,-324.19,82.78
45,63.29,0.49,0.7,51.59,18.94,-1067.87,-10.59
46,41.88,1.09,0.7,38.9,22.57,-114.8,51.52
47,20.5,0.91,0.7,57.71,26.84,-406.68,87.61
48,46.48,0.76,0.7,48.47,24.86,-71.65,36.44
49,35.73,0.56,0.7,51.55,15.98,-178.8,57.42
50,38.7,0.79,0.7,66.77,15.79,-136.29,53.61
51,31.22,0.85,0.7,29.0,15.62,-249.91,67.88
52,44.85,0.86,0.7,62.18,21.14,-97.97,44.63
53,48.94,0.62,0.7,42.21,18.89,-17.9,17.01
54,63.18,0.76,0.7,34.96,20.29,-1052.15,-10.27
55,42.81,0.75,0.7,58.56,21.94,-108.38,45.78
56,46.67,0.84,0.7,59.7,20.75,-96.26,39.56
57,24.41,0.83,0.7,34.13,22.99,-282.26,80.15
58,35.57,0.64,0.7,39.74,31.98,-206.56,59.72
59,36.9,0.54,0.7,68.78,22.51,-89.82,43.7
60,30.92,0.86,0.7,40.95,13.05,-230.6,66.46
61,31.62,0.4,0.7,66.57,22.11,-100.85,50.09
62,50.91,0.68,0.7,51.57,15.72,-9.41,14.37
63,43.94,0.54,0.7,40.23,16.33,-31.65,30.3
64,34.57,0.66,0.7,47.35,26.33,-189.94,58.36
65,41.64,0.55,0.7,42.44,22.33,-57.91,34.52
66,32.03,0.56,0.7,51.6,21.31,-230.73,66.47
67,25.86,0.68,0.7,41.01,12.26,-354.56,79.67
68,49.43,0.73,0.7,47.41,19.14,-18.06,22.11
69,38.35,0.6,0.7,60.37,29.84,-70.59,41.37
70,44.8,0.64,0.7,51.16,16.59,-43.25,32.27
71,42.64,0.78,0.7,28.33,17.76,-90.78,43.81
72,24.53,0.79,0.7,55.47,19.84,-298.1,81.15
73,34.17,0.6,0.7,51.99,22.0,-193.9,63.64
74,28.54,0.77,0.7,75.93,27.0,-282.73,75.1
75,35.16,0.85,0.7,32.45,20.16,-168.68,56.55
76,48.4,0.94,0.7,61.83,13.15,-77.7,37.24
77,27.95,0.69,0.7,57.95,17.62,-298.91,76.16
78,51.74,0.77,0.7,57.07,21.86,-28.82,19.73
79,22.24,0.46,0.7,36.62,17.22,-357.55,84.78
80,34.62,0.84,0.7,65.25,17.86,-195.06,63.74
81,42.24,0.89,0.7,37.57,25.96,-95.71,44.38
82,43.61,0.86,0.7,64.61,19.38,-100.29,44.89
83,43.75,0.58,0.7,54.13,16.81,-46.6,32.8
84,43.64,0.66,0.7,46.53,19.3,-72.53,36.56
85,52.58,0.81,0.7,41.71,17.53,-2.78,11.6
86,46.63,0.72,0.7,49.68,23.07,-51.23,33.52
87,22.1,0.68,0.7,50.55,12.55,-358.55,84.84
88,43.9,0.52,0.7,58.76,26.62,-37.94,26.29
89,23.39,0.8,0.7,76.51,33.13,-323.18,82.71
90,45.78,0.8,0.7,56.17,21.87,-69.57,36.16
91,46.15,0.75,0.7,24.95,19.38,-58.34,34.58
92,47.94,0.57,0.7,62.93,20.29,-30.91,24.93
93,29.97,0.72,0.7,55.96,24.46,-258.56,73.46
94,33.64,0.77,0.7,55.65,22.6,-248.54,67.78
95,42.33,0.87,0.7,60.04,22.63,-104.52,45.36
96,28.05,0.89,0.7,38.99,24.3,-297.54,76.07
97,40.52,0.64,0.7,48.05,20.27,-70.57,36.3
98,59.65,0.67,0.7,41.05,20.13,-1045.78,-10.21
99,40.06,0.95,0.7,43.78,24.82,-158.08,55.62
100,44.16,0.55,0.7,55.37,25.36,-33.35,25.41
101,29.77,0.69,0.7,50.96,23.24,-271.79,74.37
102,32.4,0.61,0.7,46.61,22.64,-248.62,67.79
103,21.5,0.84,0.7,51.47,17.96,-337.12,83.56
104,36.36,0.68,0.7,28.86,15.38,-175.54,57.15
105,63.46,0.72,0.7,37.8,14.7,-1056.67,-10.5
106,30.72,0.45,0.7,50.81,19.83,-230.07,66.42
107,45.45,0.8,0.7,34.21,15.67,-56.6,34.33
108,25.91,0.75,0.7,48.89,17.34,-297.83,81.14
109,26.42,0.69,0.7,49.94,18.52,-346.55,79.18
110,25.29,0.76,0.7,39.52,15.93,-351.53,79.48
111,37.13,1.02,0.7,49.63,19.85,-169.25,56.6
112,27.34,0.83,0.7,47.93,24.79,-300.22,76.25
113,44.01,0.78,0.7,47.23,19.88,-94.91,39.39
114,54.36,0.6,0.7,44.88,18.35,-1024.96,-1.94
115,34.86,0.69,0.7,52.43,25.11,-207.19,59.77
116,42.52,0.71,0.7,38.51,23.55,-74.44,41.86
117,24.28,0.53,0.7,48.19,14.64,-291.85,80.76
118,59.22,0.64,0.7,55.98,19.48,-1048.15,-10.13
119,33.2,0.68,0.7,27.25,19.11,-191.65,63.47
120,21.85,0.58,0.7,36.33,12.09,-358.02,84.81
121,31.19,0.51,0.7,34.65,17.61,-268.08,69.17
122,54.52,0.78,0.7,53.5,14.62,-3.99,12.18
123,42.25,0.82,0.7,32.56,23.63,-109.56,45.91
124,41.56,0.74,0.7,43.52,15.44,-79.62,42.49
125,29.0,0.71,0.7,52.93,20.98,-255.26,73.24
126,34.9,0.78,0.7,37.42,19.39,-212.48,65.09
127,51.06,0.48,0.7,52.17,22.99,-345.7,0.89
128,37.4,0.57,0.7,27.24,19.54,-156.07,55.44
129,23.78,0.5,0.7,41.68,10.98,-285.66,80.36
130,34.86,0.8,0.7,51.21,21.23,-165.48,61.32
131,30.23,0.6,0.7,60.01,14.47,-237.03,66.94
132,27.9,0.86,0.7,57.51,17.99,-267.65,74.08
133,53.25,0.67,0.7,55.37,13.35,-0.56,10.36
134,31.78,0.67,0.7,36.33,24.43,-219.78,65.65
135,52.05,0.78,0.7,34.31,18.32,-27.95,19.54
136,44.08,0.9,0.7,67.09,19.43,-127.52,47.79
137,47.77,0.48,0.7,58.79,27.37,0,8.26
138,26.34,0.75,0.7,61.72,13.1,-278.8,74.84
139,28.96,0.81,0.7,36.71,15.61,-214.5,70.33
140,47.36,0.71,0.7,38.28,26.33,-14.79,21.3
141,3.21,0.48,0.7,27.97,9.32,-533.44,99.19
142,34.57,0.85,0.7,46.76,22.41,-172.34,61.9
143,43.43,0.68,0.7,61.63,20.19,-73.57,41.75
144,41.18,1.03,0.7,49.2,20.24,-139.23,48.96
145,39.14,0.58,0.7,32.36,23.27,-135.95,53.58
146,49.91,0.69,0.7,43.17,26.12,-17.89,17.01
147,39.05,0.56,0.7,38.44,24.65,-138.79,48.92
148,26.37,0.72,0.7,42.3,19.56,-322.97,77.71
149,39.06,0.92,0.7,26.76,16.59,-103.2,50.33
150,58.23,0.41,0.7,31.68,13.63,-1048.06,-10.04
151,47.25,0.62,0.7,60.73,13.5,-39.34,26.55
152,29.94,0.68,0.7,55.37,10.45,-216.93,70.51
153,35.46,0.93,0.7,46.22,13.2,-203.29,59.46
154,55.27,0.82,0.7,46.32,19.32,0,5.01
155,49.53,0.45,0.7,40.78,24.3,-439.35,0.52
156,40.99,0.64,0.7,68.59,16.35,-67.5,40.98
157,43.62,0.65,0.7,44.31,21.73,-65.67,35.62
158,30.87,0.69,0.7,59.27,18.47,-257.95,68.45
159,36.8,0.8,0.7,44.35,17.07,-154.52,55.3
160,37.64,0.62,0.7,61.48,19.15,-142.03,49.23
161,54.53,0.7,0.7,51.46,16.6,0,5.59
162,37.43,0.88,0.7,57.64,15.09,-202.34,59.38
163,27.61,0.55,0.7,59.49,19.51,-232.76,71.66
164,35.15,0.55,0.7,72.65,19.56,-129.13,52.93
165,49.21,0.72,0.7,33.2,19.17,-13.48,20.96
166,36.07,0.63,0.7,31.68,26.5,-150.74,54.95
167,61.69,0.48,0.7,36.85,14.14,-1059.1,-10.48
168,47.74,0.53,0.7,51.33,23.35,-6.39,13.22
169,34.33,0.55,0.7,52.95,19.25,-162.57,61.08
170,35.12,0.64,0.7,55.06,19.42,-191.6,58.5
171,36.1,0.67,0.7,45.36,22.71,-205.04,59.6
172,32.08,0.76,0.7,58.77,11.7,-226.09,66.13
173,38.36,0.63,0.7,56.87,11.28,-108.83,50.92
174,42.54,0.58,0.7,54.69,18.41,-55.02,34.09
175,38.5,0.69,0.7,54.58,17.96,-137.85,53.76
176,44.87,0.6,0.7,38.3,25.95,-46.57,32.8
177,44.94,0.73,0.7,28.3,16.75,-78.57,37.35
178,41.82,0.81,0.7,39.0,19.67,-101.16,44.99
179,41.11,0.42,0.7,55.55,27.89,-33.99,25.54
180,34.48,0.55,0.7,51.09,20.07,-153.45,60.3
181,26.87,0.59,0.7,48.15,19.64,-346.92,79.2
182,30.74,0.71,0.7,31.31,14.18,-221.45,65.78
183,46.98,0.84,0.7,60.44,22.05,-83.2,37.95
184,44.68,0.7,0.7,51.8,19.03,-45.32,32.6
185,49.85,0.74,0.7,58.79,22.71,-23.84,23.45
186,40.19,0.92,0.7,70.95,17.92,-158.81,60.76
187,32.93,0.79,0.7,58.88,8.98,-225.73,66.1
188,28.03,0.88,0.7,41.74,23.69,-284.31,75.2
189,39.48,0.72,0.7,41.86,8.48,-109.38,50.97
190,43.41,0.75,0.7,61.72,23.9,-78.06,42.3
191,37.19,0.85,0.7,64.59,13.29,-175.41,62.15
192,61.38,0.81,0.7,29.33,24.82,-1041.51,-10.02
193,56.21,0.81,0.7,48.61,20.77,-1034.42,-8.83
194,23.2,0.37,0.7,57.98,12.97,-296.43,81.05
195,36.91,0.78,0.7,39.41,18.53,-173.64,56.98
196,21.41,0.77,0.7,45.66,19.86,-300.86,81.33
197,39.7,0.66,0.7,18.55,15.98,-121.25,47.15
198,34.18,0.78,0.7,59.97,23.39,-190.05,63.34
199,36.4,0.55,0.7,56.26,16.31,-154.19,55.27
200,32.84,0.59,0.7,37.32,16.8,-201.21,59.29
201,43.64,0.75,0.7,36.52,20.74,-88.27,38.58
202,1.13,0.75,0.7,36.65,30.16,-454.87,100.25
203,25.46,0.88,0.7,51.97,18.38,-337.68,78.63
204,43.12,0.9,0.7,26.54,23.13,-64.68,40.62
205,24.26,1.0,0.7,53.65,21.48,-310.25,76.9
206,49.29,0.59,0.7,52.49,19.12,-7.4,13.62
207,45.9,0.66,0.7,43.17,22.62,-57.54,34.46
208,33.78,0.67,0.7,48.51,17.17,-209.21,64.84
209,27.94,0.89,0.7,38.77,12.49,-282.13,75.06
210,21.07,0.72,0.7,45.47,22.33,-387.39,86.52
211,44.77,0.56,0.7,54.58,10.39,-43.5,32.31
212,41.86,0.77,0.7,72.04,25.53,-119.71,46.99
213,32.94,0.93,0.7,49.88,24.86,-239.62,67.13
214,34.07,0.8,0.7,71.87,21.64,-207.92,64.74
215,28.79,0.71,0.7,36.67,22.13,-279.62,74.89
216,25.74,0.28,0.7,44.58,30.02,-347.64,79.25
217,35.21,0.45,0.7,18.51,15.34,-188.87,58.27
218,19.04,0.76,0.7,45.6,18.92,-369.65,90.55
219,39.17,0.63,0.7,44.43,20.06,-133.47,48.39
220,27.09,0.74,0.7,59.95,17.51,-304.4,76.52
221,33.33,0.5,0.7,49.19,18.94,-192.54,63.54
222,44.39,0.84,0.7,57.35,24.49,-90.63,43.8
223,29.18,0.79,0.7,46.96,15.76,-246.01,67.6
224,21.36,0.72,0.7,46.86,23.53,-358.99,84.87
225,43.66,0.48,0.7,67.54,22.13,-33.71,25.48
226,27.01,0.7,0.7,42.14,18.59,-323.75,77.76
227,42.14,0.72,0.7,24.6,17.89,-95.52,39.47
228,40.67,0.58,0.7,41.49,24.49,-70.7,41.39
229,32.32,0.6,0.7,58.5,12.06,-173.28,61.97
230,55.36,0.51,0.7,59.64,13.32,-1037.29,-9.57
231,30.64,0.55,0.7,62.0,21.56,-194.34,63.68
232,54.69,0.58,0.7,50.0,18.34,-1033.52,-6.08
233,37.53,0.69,0.7,54.99,15.75,-142.22,54.17
234,43.44,0.58,0.7,49.65,20.67,-47.85,28.04
235,42.58,0.75,0.7,24.61,19.04,-64.98,40.66
236,54.02,0.54,0.7,62.98,21.31,-1032.28,-4.45
237,28.01,0.36,0.7,59.82,22.96,-213.35,65.16
238,61.68,0.47,0.7,26.63,21.22,-1065.9,-10.41
239,27.1,0.51,0.7,51.74,11.8,-235.0,71.82
240,39.91,0.92,0.7,50.41,17.27,-106.83,50.71
241,26.23,0.62,0.7,69.39,18.88,-333.64,78.38
242,28.64,0.7,0.7,49.69,19.5,-268.78,74.16
243,47.14,0.65,0.7,50.9,18.11,-36.65,26.05
244,43.59,0.87,0.7,50.06,21.11,-98.91,44.74
245,24.71,0.52,0.7,58.0,17.41,-319.27,82.47
246,54.77,0.7,0.7,43.95,17.99,-1027.81,-2.61
247,52.15,0.55,0.7,50.73,19.87,-52.82,3.82
248,37.93,0.51,0.7,51.79,19.48,-81.85,42.76
249,20.63,0.51,0.7,51.31,18.86,-370.55,85.54
250,23.28,0.88,0.7,28.19,22.76,-316.6,82.31
251,38.98,0.66,0.7,50.88,20.32,-143.96,49.42
252,40.73,1.0,0.7,49.21,17.79,-134.76,48.52
253,41.19,0.92,0.7,54.09,18.23,-106.22,50.65
254,34.9,0.88,0.7,66.05,21.21,-194.27,63.67
255,38.67,0.71,0.7,49.61,13.49,-104.89,50.51
256,54.02,0.47,0.7,31.69,17.15,-1027.9,-1.87
257,58.33,0.67,0.7,56.14,26.35,-1032.43,-5.42
258,28.94,0.78,0.7,59.53,26.19,-288.66,75.49
259,39.99,0.83,0.7,49.56,19.98,-148.31,49.84
260,51.51,0.76,0.7,60.33,16.52,-3.99,12.18
261,32.74,0.84,0.7,55.84,11.98,-218.43,65.55
262,43.02,0.28,0.7,45.9,14.31,-25.47,23.8
263,38.43,0.7,0.7,55.7,21.2,-120.17,47.03
264,42.33,0.71,0.7,44.15,12.94,-84.44,43.07
265,40.87,0.46,0.7,28.73,20.35,-68.62,41.12
266,44.86,0.63,0.7,34.66,7.62,-59.79,34.79
267,46.41,0.83,0.7,57.72,13.09,-74.74,41.89
268,48.02,0.58,0.7,38.54,21.78,-14.6,21.25
269,37.38,0.56,0.7,71.05,27.36,-73.73,41.77
270,52.03,0.87,0.7,33.6,16.66,-27.88,24.31
271,58.73,0.42,0.7,37.18,18.54,-1059.3,-10.43
272,51.53,0.83,0.7,51.84,15.64,-29.3,24.61
273,46.55,0.62,0.7,43.87,15.99,-44.61,27.49
274,28.81,0.63,0.7,50.48,17.67,-264.38,73.86
275,16.73,0.77,0.7,49.11,13.51,-411.03,92.85
276,43.68,0.6,0.7,39.35,12.59,-70.7,36.31
277,33.87,0.67,0.7,80.61,25.65,-204.24,59.54
278,42.69,0.59,0.7,53.63,20.91,-39.12,31.59
279,34.47,0.94,0.7,40.23,26.71,-154.3,60.37
280,36.73,0.75,0.7,52.72,15.71,-152.41,60.21
281,44.83,0.71,0.7,48.53,27.3,-56.16,34.26
282,70.31,0.71,0.7,64.28,16.26,-1081.15,-10.45
283,27.58,0.78,0.7,64.62,15.95,-289.2,75.53
284,34.06,0.62,0.7,59.05,23.62,-207.8,59.82
285,50.78,0.69,0.7,43.11,9.63,-22.45,18.22
286,37.43,0.97,0.7,48.16,17.99,-171.02,56.75
287,37.84,0.64,0.7,56.14,18.99,-151.4,55.01
288,58.76,0.66,0.7,63.6,15.59,-1052.58,-10.41
289,25.67,0.69,0.7,52.64,19.53,-282.07,80.13
290,22.96,0.42,0.7,51.9,17.33,-343.4,83.94
291,40.8,0.59,0.7,54.29,25.32,-77.47,37.21
292,45.17,0.7,0.7,52.96,12.8,-54.38,34.0
293,27.01,0.77,0.7,46.93,20.63,-277.83,74.77
294,28.54,0.69,0.7,42.84,21.64,-296.1,75.98
295,45.39,0.81,0.7,45.61,23.03,-69.43,36.14
296,41.01,0.68,0.7,62.61,23.62,-67.91,41.03
297,37.96,0.71,0.7,49.46,25.36,-167.58,56.46
298,36.05,0.61,0.7,52.79,17.07,-102.98,50.31
299,35.3,0.56,0.7,42.98,16.05,-195.99,58.86
300,20.49,0.7,0.7,36.97,18.4,-365.1,85.23
301,31.24,0.61,0.7,44.22,24.11,-213.87,65.2
302,42.73,0.76,0.7,72.9,15.14,-60.3,40.04
303,23.68,0.81,0.7,51.75,19.93,-288.02,80.52
304,35.87,0.81,0.7,56.22,22.09,-146.32,54.55
305,40.3,1.02,0.7,64.72,21.46,-168.94,56.57
306,42.39,0.84,0.7,66.12,20.55,-120.43,47.06
307,41.71,0.86,0.7,45.78,26.72,-106.48,45.58
308,59.23,0.76,0.7,46.06,9.44,-1045.64,-10.29
309,23.88,0.47,0.7,72.4,25.28,-228.57,71.36
310,22.4,1.07,0.7,35.53,22.45,-386.66,86.48
311,33.15,0.6,0.7,40.21,16.76,-158.22,60.71
312,43.63,0.59,0.7,36.89,29.81,-57.44,29.6
313,20.65,0.91,0.7,58.42,10.48,-394.72,86.94
314,50.56,0.48,0.7,55.72,27.21,-1025.51,-1.84
315,49.85,0.74,0.7,51.55,15.25,-10.05,14.59
316,17.65,0.75,0.7,54.19,14.37,-437.56,89.32
317,37.02,0.72,0.7,45.54,28.62,-138.84,53.85
318,55.05,0.7,0.7,37.65,35.8,-102.14,2.79
319,32.82,0.61,0.7,35.98,11.87,-192.82,63.56
320,30.69,0.64,0.7,77.02,16.96,-247.53,67.71
321,18.12,0.58,0.7,57.8,19.9,-412.7,87.95
322,36.2,0.52,0.7,38.14,23.92,-154.61,55.3
323,41.24,0.68,0.7,50.45,22.58,-85.53,38.24
