Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,47.71,0.7,0.3,-226.55,66.16
1,49.01,0.7,0.3,-213.36,65.16
2,40.14,0.7,0.3,-97.28,39.68
3,42.72,0.7,0.3,-75.72,42.01
4,33.13,0.7,0.3,-55.82,34.21
5,53.34,0.7,0.3,-155.16,60.45
6,23.14,0.7,0.3,0,6.55
7,11.62,0.7,0.3,0,6.65
8,23.97,0.7,0.3,0,6.76
9,39.82,0.7,0.3,-96.22,39.55
10,39.94,0.7,0.3,-97.83,39.74
11,32.52,0.7,0.3,-51.3,33.53
12,44.44,0.7,0.3,-91.35,43.88
13,16.11,0.7,0.3,0,6.57
14,22.8,0.7,0.3,0,6.78
15,40.62,0.7,0.3,-61.11,40.15
16,29.57,0.7,0.3,0,6.8
17,41.08,0.7,0.3,-62.85,40.38
18,36.46,0.7,0.3,-75.53,36.96
19,29.0,0.7,0.3,0,6.79
20,40.72,0.7,0.3,-62.77,40.37
21,28.45,0.7,0.3,0,6.8
22,30.62,0.7,0.3,-39.25,31.61
23,44.66,0.7,0.3,-91.39,43.88
24,33.01,0.7,0.3,-55.15,34.11
25,52.35,0.7,0.3,-157.52,60.65
26,19.37,0.7,0.3,0,6.73
27,15.91,0.7,0.3,0,6.8
28,53.58,0.7,0.3,-190.19,58.38
29,30.02,0.7,0.3,0,6.75
30,46.24,0.7,0.3,-106.45,45.57
31,38.13,0.7,0.3,-85.82,38.28
32,11.52,0.7,0.3,0,6.74
33,32.73,0.7,0.3,-52.93,33.78
34,29.68,0.7,0.3,0,6.79
35,43.91,0.7,0.3,-85.45,43.19
36,45.84,0.7,0.3,-104.68,45.38
37,19.92,0.7,0.3,0,6.79
38,48.97,0.7,0.3,-199.7,64.1
39,52.88,0.7,0.3,-195.24,58.8
40,43.99,0.7,0.3,-83.52,42.96
41,48.55,0.7,0.3,-202.96,64.36
42,28.45,0.7,0.3,0,6.8
43,45.11,0.7,0.3,-95.07,44.31
44,41.86,0.7,0.3,-70.43,41.35
45,34.41,0.7,0.3,-62.23,35.14
46,42.68,0.7,0.3,-75.21,41.95
47,19.15,0.7,0.3,0,6.73
48,38.55,0.7,0.3,-88.03,38.55
49,41.87,0.7,0.3,-68.25,41.08
50,37.94,0.7,0.3,-84.96,38.17
51,45.24,0.7,0.3,-99.24,44.78
52,45.96,0.7,0.3,-107.42,45.68
53,29.73,0.7,0.3,0,6.76
54,33.46,0.7,0.3,-56.38,34.29
55,49.04,0.7,0.3,-215.49,65.32
56,47.87,0.7,0.3,-104.27,45.33
57,34.01,0.7,0.3,-60.87,34.95
58,20.72,0.7,0.3,0,6.69
59,43.34,0.7,0.3,-80.76,42.63
60,50.43,0.7,0.3,-201.03,64.21
61,36.79,0.7,0.3,-77.8,37.26
62,39.16,0.7,0.3,-91.74,39.01
63,25.23,0.7,0.3,0,6.77
64,35.45,0.7,0.3,-68.99,36.08
65,16.85,0.7,0.3,0,6.78
66,22.88,0.7,0.3,0,6.77
67,62.93,0.7,0.3,-69.65,41.26
68,51.34,0.7,0.3,-176.88,62.27
69,38.03,0.7,0.3,-83.69,38.01
70,40.36,0.7,0.3,-97.98,39.76
71,25.2,0.7,0.3,0,6.75
72,13.42,0.7,0.3,0,6.74
73,40.99,0.7,0.3,-62.24,40.3
74,43.58,0.7,0.3,-82.59,42.85
75,35.03,0.7,0.3,-66.85,35.79
76,30.16,0.7,0.3,0,6.59
77,43.06,0.7,0.3,-76.51,42.11
78,31.93,0.7,0.3,-47.7,32.98
79,28.47,0.7,0.3,0,6.8
80,44.5,0.7,0.3,-88.67,43.57
81,35.99,0.7,0.3,-72.6,36.57
82,24.37,0.7,0.3,0,6.78
83,36.32,0.7,0.3,-74.16,36.78
84,52.12,0.7,0.3,-159.68,60.83
85,45.21,0.7,0.3,-96.4,44.46
86,32.59,0.7,0.3,-51.87,33.62
87,37.43,0.7,0.3,-80.12,37.56
88,45.9,0.7,0.3,-103.07,45.2
89,21.95,0.7,0.3,0,6.7
90,26.06,0.7,0.3,0,6.79
91,43.07,0.7,0.3,-76.48,42.11
92,36.35,0.7,0.3,-74.18,36.78
93,51.32,0.7,0.3,-178.08,62.37
94,55.07,0.7,0.3,-167.39,56.44
95,42.21,0.7,0.3,-73.19,41.7
96,34.74,0.7,0.3,-64.63,35.48
97,40.71,0.7,0.3,-60.76,40.1
98,48.25,0.7,0.3,-99.26,44.78
99,39.41,0.7,0.3,-93.62,39.24
100,29.04,0.7,0.3,0,6.66
101,35.19,0.7,0.3,-65.78,35.64
102,40.2,0.7,0.3,-97.53,39.71
103,44.51,0.7,0.3,-89.31,43.64
104,47.96,0.7,0.3,-219.95,65.66
105,40.22,0.7,0.3,-97.98,39.76
106,21.79,0.7,0.3,0,6.8
107,36.76,0.7,0.3,-76.5,37.09
108,48.13,0.7,0.3,-99.12,44.76
109,42.65,0.7,0.3,-76.17,42.07
110,50.4,0.7,0.3,-186.67,63.07
111,33.19,0.7,0.3,-54.22,33.97
112,30.4,0.7,0.3,-38.33,31.46
113,44.47,0.7,0.3,-88.38,43.53
114,34.12,0.7,0.3,-60.99,34.96
115,43.59,0.7,0.3,-82.13,42.79
116,39.39,0.7,0.3,-93.66,39.24
117,33.75,0.7,0.3,-59.29,34.72
118,25.16,0.7,0.3,0,6.59
119,17.03,0.7,0.3,0,6.74
120,27.63,0.7,0.3,0,6.79
121,41.27,0.7,0.3,-64.07,40.54
122,38.47,0.7,0.3,-88.04,38.56
123,32.36,0.7,0.3,-49.53,33.26
124,26.36,0.7,0.3,0,6.77
125,15.16,0.7,0.3,0,6.73
126,10.56,0.7,0.3,0,6.79
127,45.94,0.7,0.3,-106.4,45.57
128,25.93,0.7,0.3,0,6.74
129,47.62,0.7,0.3,-117.16,46.72
130,20.37,0.7,0.3,0,6.8
131,49.96,0.7,0.3,-208.57,64.79
132,33.66,0.7,0.3,-58.92,34.66
133,31.27,0.7,0.3,-44.56,32.48
134,25.41,0.7,0.3,0,6.77
135,28.19,0.7,0.3,0,6.62
136,27.94,0.7,0.3,0,6.76
137,48.21,0.7,0.3,-211.68,65.03
138,46.34,0.7,0.3,-106.82,45.61
139,42.71,0.7,0.3,-76.39,42.1
140,35.61,0.7,0.3,-69.21,36.11
141,35.37,0.7,0.3,-67.65,35.9
142,35.92,0.7,0.3,-70.78,36.32
143,44.3,0.7,0.3,-87.98,43.49
144,36.11,0.7,0.3,-71.73,36.45
145,33.41,0.7,0.3,-56.07,34.25
146,61.51,0.7,0.3,-117.83,46.79
147,46.31,0.7,0.3,-110.24,45.98
148,40.03,0.7,0.3,-95.91,39.51
149,34.18,0.7,0.3,-61.31,35.01
150,36.63,0.7,0.3,-75.01,36.89
151,39.08,0.7,0.3,-91.44,38.97
152,55.96,0.7,0.3,-154.28,55.27
153,47.18,0.7,0.3,-116.96,46.7
154,38.63,0.7,0.3,-87.9,38.54
155,39.11,0.7,0.3,-89.95,38.79
156,42.72,0.7,0.3,-75.02,41.93
157,34.72,0.7,0.3,-64.37,35.44
158,41.89,0.7,0.3,-71.15,41.45
159,29.45,0.7,0.3,0,6.78
160,43.74,0.7,0.3,-83.48,42.96
161,41.95,0.7,0.3,-69.21,41.2
162,38.47,0.7,0.3,-86.65,38.38
