Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
5,52.61,0.7,0.3,-1025.57,-0.23
8,51.1,0.7,0.3,-1023.61,-0.22
10,51.93,0.7,0.3,-1024.97,-0.05
11,64.93,0.7,0.3,-1047.16,-0.36
12,47.04,0.7,0.3,-279.19,1.23
15,59.69,0.7,0.3,-1039.96,-0.17
18,50.09,0.7,0.3,-1020.89,-0.04
22,47.74,0.7,0.3,-38.91,4.3
24,52.43,0.7,0.3,-1024.74,-0.14
29,48.41,0.7,0.3,-1016.07,-0.1
33,52.42,0.7,0.3,-1026.7,-0.18
37,51.06,0.7,0.3,-1022.88,-0.09
40,47.57,0.7,0.3,-1015.41,-0.02
44,57.01,0.7,0.3,-1033.81,-0.27
49,69.94,0.7,0.3,-1056.99,-0.66
57,59.09,0.7,0.3,-1038.85,-0.07
58,54.76,0.7,0.3,-1028.62,-0.21
61,56.54,0.7,0.3,-1034.72,-0.13
68,63.06,0.7,0.3,-1045.33,-0.42
77,51.56,0.7,0.3,-1024.17,-0.19
81,50.19,0.7,0.3,-1021.55,-0.08
90,55.39,0.7,0.3,-1031.61,-0.05
91,54.6,0.7,0.3,-1028.89,-0.29
100,51.55,0.7,0.3,-1025.59,-0.17
102,51.36,0.7,0.3,-1023.88,-0.19
105,51.29,0.7,0.3,-1022.89,-0.23
106,54.77,0.7,0.3,-1030.13,-0.31
112,47.56,0.7,0.3,-132.73,2.38
113,48.2,0.7,0.3,-1016.75,-0.08
116,49.62,0.7,0.3,-1019.62,-0.06
120,56.67,0.7,0.3,-1033.55,-0.19
121,63.55,0.7,0.3,-1045.39,-0.53
123,69.2,0.7,0.3,-1056.45,-0.08
125,47.5,0.7,0.3,-1013.89,-0.04
128,51.15,0.7,0.3,-1025.51,-0.2
130,50.14,0.7,0.3,-1021.89,-0.18
138,55.75,0.7,0.3,-1034.12,-0.15
140,50.95,0.7,0.3,-1021.88,-0.01
147,47.96,0.7,0.3,-1015.98,-0.1
154,49.02,0.7,0.3,-1014.43,-0.01
157,51.14,0.7,0.3,-1024.49,-0.18
158,51.76,0.7,0.3,-1029.3,-0.25
160,54.17,0.7,0.3,-1029.64,-0.29
163,46.84,0.7,0.3,-1013.65,-0.05
169,59.16,0.7,0.3,-1040.03,-0.1
175,46.95,0.7,0.3,-600.64,0.03
187,59.33,0.7,0.3,-1039.53,-0.15
191,47.81,0.7,0.3,-1015.85,-0.12
200,50.06,0.7,0.3,-1020.59,-0.06
212,51.22,0.7,0.3,-1022.52,-0.19
214,51.99,0.7,0.3,-1023.0,-0.01
222,51.43,0.7,0.3,-1022.84,-0.11
