Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,30.27,0.63,0.3,-203.58,59.48
1,42.99,0.61,0.17,-33.89,30.69
2,24.12,0.96,0.3,-284.02,80.26
3,29.34,0.61,0.11,-237.65,72.0
4,21.11,0.7,0.16,-366.8,85.33
5,34.21,0.7,0.2,-141.31,54.08
6,57.32,0.58,0.17,-1025.93,-0.06
7,40.77,0.82,0.22,-97.58,39.71
8,9.05,0.7,0.14,-493.57,97.19
9,34.99,0.62,0.24,-114.49,46.44
10,30.36,0.69,0.22,-194.36,63.68
11,43.69,0.77,0.26,-38.77,26.44
12,50.89,0.7,0.13,-17.32,16.85
13,36.47,0.65,0.21,-125.12,47.54
14,28.97,0.54,0.11,-216.02,70.44
15,34.48,0.78,0.17,-151.44,60.12
16,59.27,0.63,0.15,-1022.71,-0.2
17,46.26,0.8,0.21,-36.51,26.02
18,33.71,0.74,0.2,-153.92,60.34
19,33.69,0.71,0.11,-239.6,67.13
20,27.1,0.8,0.29,-245.17,72.53
21,35.4,0.83,0.16,-152.37,60.21
22,45.51,0.76,0.13,-79.27,37.45
23,32.68,0.69,0.3,-106.71,50.7
24,45.5,0.7,0.13,-45.29,32.6
25,37.97,0.65,0.27,-68.65,36.03
26,40.21,0.71,0.2,-82.62,42.85
27,38.38,0.95,0.2,-132.9,53.29
28,20.39,0.67,0.18,-389.06,86.61
29,30.87,0.67,0.25,-155.69,60.49
30,39.83,0.79,0.28,-79.45,37.47
31,45.06,0.45,0.25,-1015.27,-0.07
32,64.38,0.78,0.16,-1024.14,-0.22
33,43.98,0.71,0.19,-57.13,34.4
34,23.42,0.67,0.21,-357.37,79.84
35,41.97,0.54,0.18,-54.08,29.07
36,56.73,0.79,0.28,-1028.39,-0.19
37,36.29,0.68,0.13,-177.66,57.33
38,47.65,0.63,0.24,-28.55,4.78
39,48.75,0.74,0.23,-8.46,14.02
40,21.06,0.72,0.17,-332.95,83.31
41,42.96,0.79,0.25,-31.73,30.31
42,30.98,0.46,0.22,-107.7,50.8
43,32.46,0.77,0.28,-172.44,56.88
44,35.77,0.8,0.23,-155.66,55.4
45,41.62,0.59,0.29,-24.06,18.62
46,33.73,0.74,0.16,-190.22,63.35
47,46.7,0.79,0.16,-57.76,34.5
48,19.44,0.6,0.11,-410.72,87.84
49,30.29,0.74,0.23,-161.45,60.98
50,41.23,0.58,0.15,-56.26,34.28
51,40.55,0.7,0.13,-116.25,46.62
52,42.98,0.78,0.14,-104.5,45.36
53,24.92,0.67,0.24,-269.76,74.23
54,14.31,0.67,0.11,-435.85,94.18
55,24.35,0.7,0.22,-313.42,77.1
56,54.17,0.68,0.16,-1011.47,-0.01
57,47.4,0.84,0.23,-12.47,20.69
58,25.04,0.64,0.1,-306.37,81.67
59,41.27,0.53,0.27,-16.51,16.62
60,46.22,0.63,0.18,-10.94,20.26
61,27.96,0.7,0.29,-226.42,66.15
62,30.08,0.7,0.16,-222.36,70.91
63,28.76,0.55,0.18,-190.78,63.4
64,39.25,0.59,0.29,-33.82,25.51
65,36.81,0.74,0.27,-89.65,43.68
66,45.0,0.93,0.28,-33.52,25.45
67,38.94,0.64,0.11,-108.68,50.9
68,27.33,0.93,0.21,-314.41,77.16
69,48.72,0.74,0.17,-29.7,19.93
70,41.03,0.74,0.22,-83.4,37.97
71,34.08,0.73,0.12,-201.71,64.26
