Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
1,74.09,0.87,0.14,-1027.61,-0.03
5,63.01,0.68,0.14,-1023.96,-0.23
10,57.69,0.65,0.26,-1033.55,-0.26
21,53.91,0.61,0.19,-1022.44,-0.21
25,48.02,0.69,0.27,-407.77,0.64
37,54.45,0.58,0.16,-1017.87,-0.1
42,53.0,0.66,0.2,-1021.45,-0.19
52,44.91,0.54,0.27,-35.83,4.42
54,53.11,0.64,0.23,-1021.63,-0.14
61,49.93,0.75,0.29,-1014.98,-0.03
62,48.97,0.59,0.23,-1013.01,-0.02
70,65.92,0.62,0.19,-1043.4,-0.17
75,54.79,0.87,0.25,-1013.78,-0.1
76,47.66,0.52,0.2,-1012.01,-0.05
87,56.72,1.0,0.21,-383.31,0.73
89,57.75,0.81,0.17,-1014.38,-0.09
98,56.02,0.71,0.22,-1022.4,-0.05
115,57.55,0.76,0.17,-1016.06,-0.04
121,49.4,0.64,0.24,-1016.31,-0.03
126,54.02,0.37,0.11,-1035.24,-0.14
128,55.87,0.92,0.23,-1015.13,-0.03
129,53.58,0.7,0.18,-1014.48,-0.12
131,52.1,0.62,0.31,-1028.66,-0.02
133,60.61,0.72,0.22,-1030.83,-0.09
134,56.41,0.58,0.25,-1037.15,-0.17
136,46.98,0.35,0.14,-1021.71,-0.23
140,58.37,0.86,0.19,-1015.35,-0.0
149,63.61,0.57,0.17,-1040.92,-0.13
152,48.47,0.43,0.21,-1022.96,-0.13
153,48.2,0.53,0.18,-1011.19,-0.0
159,50.93,0.61,0.25,-1020.14,-0.1
172,52.99,0.69,0.24,-1022.56,-0.2
174,49.11,0.37,0.24,-1036.94,-0.32
177,71.06,0.54,0.25,-1071.36,-0.47
183,58.12,0.7,0.19,-1022.85,-0.03
185,55.65,0.64,0.12,-1009.87,-0.01
198,62.05,0.58,0.2,-1040.93,-0.21
209,52.28,0.57,0.33,-1036.12,-0.27
211,51.94,0.56,0.21,-1023.01,-0.2
216,50.65,0.7,0.21,-540.23,0.2
217,50.9,0.8,0.23,-28.76,4.77
222,45.55,0.67,0.31,-1012.3,-0.06
229,46.37,0.45,0.22,-1022.99,-0.22
236,53.96,0.68,0.26,-1026.18,-0.09
272,69.06,0.88,0.16,-1027.17,-0.02
273,49.42,0.7,0.21,-26.49,4.89
279,58.22,0.63,0.16,-1025.99,-0.08
281,39.37,0.29,0.33,-1024.67,-0.22
286,50.15,0.72,0.26,-1017.81,-0.1
290,49.43,0.56,0.21,-1019.59,-0.17
292,55.38,0.17,0.24,-1078.69,-0.81
308,64.33,0.86,0.15,-1019.11,-0.13
318,55.71,0.6,0.13,-1013.92,-0.01
324,50.51,0.67,0.18,-1012.3,-0.07
331,50.2,0.64,0.26,-1022.52,-0.0
339,48.19,0.6,0.19,-114.52,2.61
344,50.75,0.8,0.2,-53.06,3.81
349,45.86,0.56,0.32,-1020.93,-0.09
355,50.39,0.66,0.26,-1023.42,-0.0
356,43.33,0.46,0.28,-1015.06,-0.03
357,49.28,0.62,0.31,-1026.46,-0.11
363,48.11,0.66,0.27,-1014.62,-0.03
364,53.49,0.53,0.12,-1014.3,-0.02
367,49.05,0.58,0.26,-1024.08,-0.16
375,51.46,0.69,0.22,-1017.28,-0.15
397,59.48,0.75,0.09,-173.29,1.97
398,50.33,0.76,0.21,-116.48,2.59
401,56.86,0.67,0.2,-1026.56,-0.23
408,57.24,0.77,0.16,-1015.3,-0.1
416,57.18,0.61,0.13,-1020.01,-0.06
417,51.27,0.73,0.16,-46.24,4.03
420,47.82,0.62,0.23,-1014.71,-0.1
429,51.75,0.67,0.23,-1020.96,-0.05
432,47.76,0.49,0.22,-1020.71,-0.04
433,47.53,0.69,0.23,-54.07,3.78
439,46.12,0.68,0.32,-325.22,0.99
448,51.85,0.91,0.3,-1013.09,-0.06
459,56.39,0.68,0.1,-1008.93,-0.03
462,60.36,0.71,0.19,-1027.6,-0.05
464,53.09,0.7,0.16,-1011.75,-0.01
471,47.46,0.59,0.23,-1013.37,-0.06
490,55.3,0.6,0.14,-1020.22,-0.05
501,62.45,0.75,0.19,-1029.44,-0.19
506,69.88,0.93,0.16,-1025.51,-0.16
507,57.02,0.63,0.14,-1019.64,-0.22
509,46.21,0.38,0.22,-1026.77,-0.05
519,52.79,0.56,0.15,-1019.45,-0.06
520,48.06,0.67,0.22,-1011.38,-0.0
521,57.48,0.73,0.27,-1033.37,-0.28
531,46.42,0.54,0.21,-1012.01,-0.04
538,56.27,0.87,0.28,-1025.86,-0.07
541,53.3,0.69,0.21,-1021.07,-0.09
542,45.54,0.53,0.19,-72.97,3.32
543,55.79,0.51,0.36,-1049.87,-0.36
544,66.39,0.59,0.12,-1037.7,-0.22
554,52.51,0.72,0.32,-1029.31,-0.2
557,52.4,0.54,0.23,-1032.24,-0.29
560,46.05,0.55,0.29,-1025.25,-0.03
571,49.15,0.71,0.2,-33.68,4.52
576,52.31,0.57,0.23,-1029.56,-0.26
585,50.26,0.72,0.23,-1013.7,-0.11
590,44.46,0.37,0.19,-1018.91,-0.17
591,40.38,0.37,0.28,-1014.44,-0.04
601,47.19,0.65,0.21,-1010.44,-0.04
603,48.18,0.77,0.31,-1015.62,-0.07
604,54.42,0.89,0.23,-1015.99,-0.16
611,57.86,0.79,0.16,-1015.66,-0.01
621,52.43,0.75,0.2,-1012.83,-0.09
625,47.07,0.66,0.22,-64.61,3.51
639,48.3,0.48,0.3,-1034.17,-0.05
642,60.55,0.62,0.16,-1031.7,-0.28
645,52.7,0.83,0.16,-54.51,3.77
648,48.21,0.52,0.23,-1023.33,-0.24
655,49.94,0.85,0.33,-1021.07,-0.13
658,48.64,0.48,0.24,-1030.82,-0.12
660,60.68,0.9,0.24,-1027.21,-0.03
665,45.92,0.45,0.15,-1011.36,-0.03
678,50.62,0.67,0.22,-1020.6,-0.03
679,54.34,0.72,0.11,-41.11,4.21
680,58.74,0.73,0.2,-1027.07,-0.24
683,47.05,0.73,0.26,-240.45,1.46
690,54.2,0.36,0.18,-1049.38,-0.23
697,51.91,0.64,0.13,-1010.1,-0.04
704,42.34,0.29,0.12,-1016.11,-0.08
709,44.57,0.72,0.33,-95.71,2.89
714,57.07,0.84,0.32,-1032.59,-0.37
717,50.54,0.5,0.16,-1020.59,-0.01
720,48.79,0.83,0.28,-1013.66,-0.11
728,42.69,0.34,0.24,-1026.28,-0.22
729,41.58,0.61,0.37,-67.89,3.43
732,55.6,0.96,0.19,-1010.41,-0.02
748,55.09,0.48,0.24,-1042.49,-0.48
759,55.67,0.87,0.15,-60.26,3.61
761,47.78,0.49,0.26,-1027.69,-0.19
764,47.59,0.48,0.21,-1026.87,-0.15
776,44.21,0.3,0.15,-1022.4,-0.16
785,42.87,0.19,0.19,-1043.97,-0.28
