Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,74.46,0.7,0.3,-10.46,20.13
1,74.24,0.7,0.3,-11.67,20.47
2,71.37,0.7,0.3,-38.83,26.45
3,73.08,0.7,0.3,-19.44,22.44
4,76.4,0.7,0.3,-11.45,15.07
5,71.17,0.7,0.3,-41.63,26.96
6,74.59,0.7,0.3,-11.46,20.41
7,74.34,0.7,0.3,-19.4,17.42
8,70.48,0.7,0.3,-48.76,28.19
9,75.66,0.7,0.3,-17.06,16.78
10,77.62,0.7,0.3,-11.3,15.02
11,76.56,0.7,0.3,-9.34,14.34
12,72.63,0.7,0.3,-26.01,23.92
13,78.97,0.7,0.3,-0.95,10.6
14,80.05,0.7,0.3,0,7.69
15,74.28,0.7,0.3,-16.04,21.62
16,70.94,0.7,0.3,-59.01,29.85
17,77.4,0.7,0.3,-6.0,13.06
18,76.62,0.7,0.3,-12.76,15.49
19,80.16,0.7,0.3,0,7.14
20,76.73,0.7,0.3,-10.52,14.75
21,76.66,0.7,0.3,-9.95,14.56
22,80.4,0.7,0.3,0,6.95
23,70.95,0.7,0.3,-44.19,27.41
24,69.23,0.7,0.3,-34.31,30.77
25,73.99,0.7,0.3,-19.42,22.44
26,75.96,0.7,0.3,-15.88,16.44
27,76.28,0.7,0.3,-14.55,16.05
28,73.04,0.7,0.3,-24.64,23.62
29,79.06,0.7,0.3,-1.0,10.63
30,69.51,0.7,0.3,-51.9,28.72
31,82.37,0.7,0.3,-161.75,2.08
