Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,45.04,0.7,0.3,0,7.48
1,44.27,0.7,0.3,-16.03,16.48
2,40.04,0.7,0.3,-52.84,28.87
3,31.59,0.7,0.3,-189.11,58.29
4,36.21,0.7,0.3,-80.87,42.64
5,52.61,0.7,0.3,-1025.57,-0.23
6,37.62,0.7,0.3,-66.73,35.77
7,35.88,0.7,0.3,-94.19,44.21
8,51.1,0.7,0.3,-1023.61,-0.22
9,37.85,0.7,0.3,-86.24,38.33
10,51.93,0.7,0.3,-1024.97,-0.05
11,64.93,0.7,0.3,-1047.16,-0.36
12,47.04,0.7,0.3,-279.19,1.23
13,35.07,0.7,0.3,-101.63,45.04
14,13.27,0.7,0.3,-420.51,93.36
15,59.69,0.7,0.3,-1039.96,-0.17
16,29.2,0.7,0.3,-177.75,62.34
17,33.08,0.7,0.3,-120.37,52.08
18,50.09,0.7,0.3,-1020.89,-0.04
19,42.52,0.7,0.3,-15.3,21.43
20,36.44,0.7,0.3,-86.86,43.36
21,26.4,0.7,0.3,-279.53,69.97
22,47.74,0.7,0.3,-38.91,4.3
23,40.6,0.7,0.3,-38.27,26.35
24,52.43,0.7,0.3,-1024.74,-0.14
25,31.83,0.7,0.3,-163.96,56.14
26,34.66,0.7,0.3,-102.84,45.18
27,37.16,0.7,0.3,-95.69,39.49
28,41.11,0.7,0.3,-38.51,26.39
29,48.41,0.7,0.3,-1016.07,-0.1
30,42.53,0.7,0.3,-13.66,21.0
31,45.67,0.7,0.3,0,7.9
32,41.69,0.7,0.3,-26.7,24.06
33,52.42,0.7,0.3,-1026.7,-0.18
34,45.63,0.7,0.3,0,9.4
35,43.56,0.7,0.3,-14.31,15.97
36,40.31,0.7,0.3,-46.23,27.77
37,51.06,0.7,0.3,-1022.88,-0.09
38,42.07,0.7,0.3,-20.44,22.68
39,35.48,0.7,0.3,-96.07,44.42
40,47.57,0.7,0.3,-1015.41,-0.02
41,39.96,0.7,0.3,-40.16,31.76
42,23.09,0.7,0.3,-304.59,76.53
43,21.13,0.7,0.3,-348.44,79.29
44,57.01,0.7,0.3,-1033.81,-0.27
45,25.7,0.7,0.3,-224.17,71.04
46,39.79,0.7,0.3,-58.79,29.81
47,28.89,0.7,0.3,-186.48,63.05
48,30.68,0.7,0.3,-153.04,60.26
49,69.94,0.7,0.3,-1056.99,-0.66
50,39.27,0.7,0.3,-30.95,30.17
