Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,79.91,0.7,0.3,0,7.53
1,75.18,0.7,0.3,-26.42,19.18
2,74.13,0.7,0.3,-27.72,19.48
3,80.61,0.7,0.3,0,6.95
4,73.97,0.7,0.3,-14.68,21.27
5,72.05,0.7,0.3,-28.39,24.42
6,79.86,0.7,0.3,0,9.98
7,73.2,0.7,0.3,-17.79,22.05
8,75.42,0.7,0.3,-21.78,18.05
9,73.36,0.7,0.3,-28.99,24.54
10,70.88,0.7,0.3,-41.11,26.87
11,77.42,0.7,0.3,-4.79,12.55
12,77.1,0.7,0.3,-14.36,15.99
13,72.02,0.7,0.3,-33.22,25.39
14,71.05,0.7,0.3,-54.1,29.07
15,73.52,0.7,0.3,-18.78,22.28
16,75.0,0.7,0.3,-22.71,18.28
17,79.05,0.7,0.3,-0.33,10.21
18,79.8,0.7,0.3,0,9.62
19,77.91,0.7,0.3,-8.09,13.89
20,78.23,0.7,0.3,-2.86,11.64
21,77.68,0.7,0.3,-4.91,12.6
22,73.79,0.7,0.3,-16.29,21.68
23,88.48,0.7,0.3,-1064.0,-10.12
