Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,57.02,0.7,0.3,-148.1,54.71
1,49.1,0.7,0.3,-223.56,65.94
2,18.87,0.7,0.3,0,6.76
3,53.22,0.7,0.3,-185.8,58.02
4,44.29,0.7,0.3,-88.35,43.53
5,40.67,0.7,0.3,-60.18,40.02
6,35.57,0.7,0.3,-69.99,36.22
7,34.18,0.7,0.3,-61.95,35.1
8,44.66,0.7,0.3,-92.06,43.96
9,38.74,0.7,0.3,-89.42,38.73
10,29.96,0.7,0.3,0,6.78
11,49.75,0.7,0.3,-199.99,64.13
12,25.12,0.7,0.3,0,6.79
13,4.52,0.7,0.3,0,6.77
14,45.41,0.7,0.3,-96.79,44.5
15,30.6,0.7,0.3,-39.87,31.71
16,43.45,0.7,0.3,-80.21,42.56
17,27.14,0.7,0.3,0,6.78
18,38.62,0.7,0.3,-89.63,38.75
19,53.16,0.7,0.3,-193.04,58.62
20,42.94,0.7,0.3,-77.16,42.19
21,32.02,0.7,0.3,-48.58,33.11
22,58.21,0.7,0.3,-108.65,50.9
23,43.59,0.7,0.3,-80.75,42.63
24,41.4,0.7,0.3,-66.58,40.86
25,37.34,0.7,0.3,-79.74,37.51
26,38.76,0.7,0.3,-89.8,38.77
27,34.33,0.7,0.3,-61.02,34.97
28,54.03,0.7,0.3,-185.97,58.03
29,32.62,0.7,0.3,-52.05,33.65
30,35.99,0.7,0.3,-71.74,36.45
31,38.57,0.7,0.3,-87.4,38.48
32,31.33,0.7,0.3,-44.5,32.47
33,48.21,0.7,0.3,-102.02,45.09
34,34.09,0.7,0.3,-60.56,34.9
35,40.77,0.7,0.3,-61.31,40.17
36,23.71,0.7,0.3,0,6.8
37,21.47,0.7,0.3,0,6.74
38,14.2,0.7,0.3,0,6.78
39,5.36,0.7,0.3,0,6.78
40,40.03,0.7,0.3,-98.92,39.87
41,51.26,0.7,0.3,-185.8,63.0
42,49.14,0.7,0.3,-228.51,66.31
43,30.17,0.7,0.3,0,6.77
44,62.76,0.7,0.3,-84.46,43.07
45,43.57,0.7,0.3,-82.71,42.86
46,31.53,0.7,0.3,-45.43,32.62
