Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,48.41,0.7,0.3,-208.12,64.76
1,31.74,0.7,0.3,-46.32,32.76
2,54.03,0.7,0.3,-180.19,57.54
3,14.86,0.7,0.3,0,6.68
4,26.34,0.7,0.3,0,6.78
5,28.37,0.7,0.3,0,6.8
6,60.72,0.7,0.3,-135.63,48.6
7,49.08,0.7,0.3,-233.46,66.68
8,40.4,0.7,0.3,-98.82,39.86
9,46.52,0.7,0.3,-110.04,45.96
10,28.0,0.7,0.3,0,6.68
11,38.28,0.7,0.3,-86.08,38.31
12,17.7,0.7,0.3,0,6.65
13,35.22,0.7,0.3,-67.86,35.93
14,35.5,0.7,0.3,-67.57,35.89
15,65.98,0.7,0.3,-83.94,38.04
16,52.56,0.7,0.3,-166.96,61.45
17,16.69,0.7,0.3,0,6.79
18,22.51,0.7,0.3,0,6.71
19,62.51,0.7,0.3,-99.38,44.79
20,26.19,0.7,0.3,0,6.76
21,49.0,0.7,0.3,-215.8,65.35
22,43.64,0.7,0.3,-82.66,42.86
23,38.77,0.7,0.3,-90.72,38.89
24,18.32,0.7,0.3,0,6.78
25,32.94,0.7,0.3,-54.54,34.02
26,20.94,0.7,0.3,0,6.79
27,35.73,0.7,0.3,-70.83,36.33
28,27.2,0.7,0.3,0,6.78
29,34.51,0.7,0.3,-61.8,35.08
30,39.85,0.7,0.3,-94.83,39.39
31,33.88,0.7,0.3,-59.5,34.75
32,54.25,0.7,0.3,-177.03,57.27
33,35.37,0.7,0.3,-67.57,35.89
34,32.6,0.7,0.3,-51.23,33.52
35,12.92,0.7,0.3,0,6.79
36,48.36,0.7,0.3,-116.26,46.62
37,30.8,0.7,0.3,-41.01,31.9
38,30.43,0.7,0.3,-38.75,31.53
39,37.89,0.7,0.3,-83.24,37.95
40,30.32,0.7,0.3,-37.86,31.38
41,35.98,0.7,0.3,-72.16,36.51
42,45.31,0.7,0.3,-96.73,44.49
43,27.19,0.7,0.3,0,6.8
44,25.34,0.7,0.3,0,6.8
45,23.23,0.7,0.3,0,6.72
46,27.55,0.7,0.3,0,6.77
47,42.55,0.7,0.3,-73.63,41.76
48,25.08,0.7,0.3,0,6.74
49,31.54,0.7,0.3,-45.01,32.55
50,42.37,0.7,0.3,-73.21,41.7
51,54.59,0.7,0.3,-182.75,57.76
52,43.51,0.7,0.3,-79.59,42.49
53,13.12,0.7,0.3,0,6.64
54,32.29,0.7,0.3,-50.99,33.48
55,24.98,0.7,0.3,0,6.55
56,32.85,0.7,0.3,-52.75,33.75
57,48.33,0.7,0.3,-105.88,45.51
58,31.03,0.7,0.3,-43.06,32.24
59,30.54,0.7,0.3,-40.27,31.78
60,30.73,0.7,0.3,-39.9,31.72
61,36.19,0.7,0.3,-73.81,36.73
62,22.15,0.7,0.3,0,6.76
63,23.44,0.7,0.3,0,6.74
64,59.17,0.7,0.3,-133.36,48.38
65,35.02,0.7,0.3,-65.81,35.64
66,48.37,0.7,0.3,-116.2,46.62
67,30.69,0.7,0.3,-39.79,31.7
68,35.73,0.7,0.3,-69.37,36.13
69,35.22,0.7,0.3,-67.47,35.87
70,43.5,0.7,0.3,-79.85,42.52
71,18.22,0.7,0.3,0,6.75
72,25.42,0.7,0.3,0,6.77
73,31.47,0.7,0.3,-45.92,32.7
74,53.27,0.7,0.3,-208.51,59.88
75,32.48,0.7,0.3,-50.36,33.39
76,42.08,0.7,0.3,-72.12,41.57
77,44.83,0.7,0.3,-90.81,43.82
78,56.64,0.7,0.3,-135.85,53.57
79,51.16,0.7,0.3,-190.35,63.36
80,39.77,0.7,0.3,-94.69,39.37
81,41.59,0.7,0.3,-68.78,41.14
82,21.52,0.7,0.3,0,6.71
83,42.31,0.7,0.3,-72.83,41.66
84,39.0,0.7,0.3,-91.58,38.99
85,43.93,0.7,0.3,-83.18,42.92
86,33.3,0.7,0.3,-56.6,34.33
87,39.33,0.7,0.3,-91.15,38.94
88,40.64,0.7,0.3,-60.75,40.1
89,42.82,0.7,0.3,-75.57,42.0
90,51.91,0.7,0.3,-161.59,61.0
91,30.19,0.7,0.3,0,6.79
92,39.56,0.7,0.3,-94.56,39.35
93,42.88,0.7,0.3,-75.27,41.96
94,31.69,0.7,0.3,-46.02,32.71
95,47.29,0.7,0.3,-108.16,45.76
96,34.58,0.7,0.3,-63.98,35.39
97,44.64,0.7,0.3,-90.01,43.72
98,22.99,0.7,0.3,0,6.76
99,37.87,0.7,0.3,-81.91,37.78
100,43.13,0.7,0.3,-77.55,42.24
101,23.8,0.7,0.3,0,6.78
102,27.49,0.7,0.3,0,6.78
103,40.95,0.7,0.3,-62.18,40.29
104,49.67,0.7,0.3,-210.94,64.98
105,45.47,0.7,0.3,-100.17,44.88
