Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,37.0,0.7,0.3,-72.6,41.63
1,41.51,0.7,0.3,-24.27,23.54
2,32.8,0.7,0.3,-119.53,51.99
3,25.57,0.7,0.3,-211.8,70.13
4,44.16,0.7,0.3,-12.36,15.36
5,36.8,0.7,0.3,-101.13,44.99
6,42.62,0.7,0.3,-31.1,24.97
7,47.7,0.7,0.3,-297.86,1.12
8,36.8,0.7,0.3,-92.82,39.14
9,40.36,0.7,0.3,-31.89,25.13
10,44.48,0.7,0.3,-17.19,16.82
11,47.43,0.7,0.3,-40.17,4.25
12,31.28,0.7,0.3,-191.0,58.45
13,45.01,0.7,0.3,-5.86,13.01
14,21.68,0.7,0.3,-283.49,80.22
15,32.41,0.7,0.3,-118.56,51.9
16,37.58,0.7,0.3,-68.05,41.05
17,39.49,0.7,0.3,-36.01,31.06
18,25.73,0.7,0.3,-258.9,68.52
19,28.83,0.7,0.3,-210.16,64.92
20,40.56,0.7,0.3,-34.14,30.74
21,53.86,0.7,0.3,-1028.48,-10.14
22,50.99,0.7,0.3,-1022.9,-10.01
23,39.37,0.7,0.3,-44.43,32.46
24,30.73,0.7,0.3,-155.7,60.49
25,41.57,0.7,0.3,-45.59,27.66
26,40.52,0.7,0.3,-41.36,31.96
27,35.4,0.7,0.3,-99.76,44.83
28,30.71,0.7,0.3,-193.32,63.6
29,44.24,0.7,0.3,-21.76,18.04
30,50.59,0.7,0.3,-1020.66,-10.02
31,14.9,0.7,0.3,-435.45,89.21
32,30.91,0.7,0.3,-165.08,61.29
33,27.58,0.7,0.3,-224.87,66.04
34,45.04,0.7,0.3,0,7.86
35,33.35,0.7,0.3,-111.41,51.18
36,45.83,0.7,0.3,-1.83,11.1
37,40.7,0.7,0.3,-42.04,27.03
38,45.12,0.7,0.3,-2.86,11.64
39,42.0,0.7,0.3,-20.88,17.81
40,30.19,0.7,0.3,-168.04,61.54
41,31.45,0.7,0.3,-191.37,58.48
42,18.21,0.7,0.3,-389.78,86.65
43,32.68,0.7,0.3,-146.89,54.6
44,57.36,0.7,0.3,-1034.11,-10.25
45,30.02,0.7,0.3,-191.4,58.48
46,44.27,0.7,0.3,-20.63,17.75
47,29.47,0.7,0.3,-201.48,64.24
48,38.53,0.7,0.3,-47.36,32.92
49,43.93,0.7,0.3,-25.35,18.93
50,32.7,0.7,0.3,-170.77,56.73
51,27.47,0.7,0.3,-247.54,67.71
52,43.05,0.7,0.3,-26.72,19.25
53,30.56,0.7,0.3,-178.22,62.38
54,26.55,0.7,0.3,-210.36,70.03
55,23.26,0.7,0.3,-337.04,78.59
56,43.17,0.7,0.3,-14.97,21.34
57,53.95,0.7,0.3,-1030.6,-10.28
58,35.68,0.7,0.3,-88.41,43.54
59,35.35,0.7,0.3,-112.46,46.22
60,38.94,0.7,0.3,-75.1,36.9
61,29.94,0.7,0.3,-166.73,61.43
62,20.19,0.7,0.3,-287.86,80.5
63,29.29,0.7,0.3,-197.42,63.92
64,37.35,0.7,0.3,-78.53,42.36
65,22.19,0.7,0.3,-313.55,77.11
66,29.46,0.7,0.3,-221.85,65.81
67,31.84,0.7,0.3,-168.77,56.56
68,48.09,0.7,0.3,-26.02,4.92
69,33.18,0.7,0.3,-152.33,55.1
70,40.71,0.7,0.3,-51.15,28.59
71,40.07,0.7,0.3,-51.65,33.59
72,27.38,0.7,0.3,-276.74,69.77
73,42.22,0.7,0.3,-11.58,20.44
74,41.31,0.7,0.3,-20.18,22.61
75,41.46,0.7,0.3,-41.46,31.98
76,43.53,0.7,0.3,-17.57,16.92
77,56.43,0.7,0.3,-1030.84,-10.04
78,39.45,0.7,0.3,-38.27,31.45
79,16.41,0.7,0.3,-432.76,89.06
80,34.77,0.7,0.3,-105.5,45.47
81,42.52,0.7,0.3,-17.32,21.93
82,27.78,0.7,0.3,-199.97,64.12
83,42.26,0.7,0.3,-18.1,22.12
84,21.53,0.7,0.3,-324.28,77.79
85,39.33,0.7,0.3,-51.84,33.62
86,56.96,0.7,0.3,-1034.56,-10.02
87,45.64,0.7,0.3,0,6.48
88,42.48,0.7,0.3,-19.5,17.45
89,29.41,0.7,0.3,-227.96,66.27
90,37.21,0.7,0.3,-65.38,40.71
91,47.28,0.7,0.3,-452.61,0.47
92,40.56,0.7,0.3,-30.27,30.05
93,35.6,0.7,0.3,-116.03,46.6
94,33.29,0.7,0.3,-120.57,52.1
95,40.96,0.7,0.3,-31.63,25.07
96,30.5,0.7,0.3,-202.07,59.36
97,32.88,0.7,0.3,-116.09,51.65
98,24.19,0.7,0.3,-284.78,75.23
99,39.96,0.7,0.3,-55.59,29.31
100,35.51,0.7,0.3,-99.96,44.86
101,45.8,0.7,0.3,0,9.7
102,24.05,0.7,0.3,-312.59,77.05
103,50.24,0.7,0.3,-1019.52,-9.79
104,12.2,0.7,0.3,-411.49,92.87
105,37.15,0.7,0.3,-98.04,39.77
106,23.38,0.7,0.3,-272.93,74.44
107,50.8,0.7,0.3,-1021.49,-10.09
108,48.98,0.7,0.3,-453.22,0.47
109,48.34,0.7,0.3,-1017.64,-7.13
110,43.75,0.7,0.3,-26.25,19.14
111,43.41,0.7,0.3,-22.81,18.31
112,45.21,0.7,0.3,0,9.97
113,40.23,0.7,0.3,-36.82,31.2
114,35.3,0.7,0.3,-113.88,46.37
115,47.43,0.7,0.3,-87.61,3.03
116,53.34,0.7,0.3,-1026.76,-10.15
117,47.44,0.7,0.3,0,5.76
118,12.21,0.7,0.3,-431.15,93.93
119,34.69,0.7,0.3,-116.18,46.62
120,50.24,0.7,0.3,-1020.9,-10.01
121,36.63,0.7,0.3,-83.17,42.92
122,46.05,0.7,0.3,0,5.36
123,23.92,0.7,0.3,-286.09,75.32
124,23.09,0.7,0.3,-293.55,75.81
125,38.55,0.7,0.3,-70.74,36.32
126,51.02,0.7,0.3,-1022.01,-10.05
127,64.8,0.7,0.3,-1046.46,-10.19
128,70.47,0.7,0.3,-1060.8,-10.19
129,22.22,0.7,0.3,-324.71,77.82
130,36.1,0.7,0.3,-123.11,47.34
131,56.21,0.7,0.3,-1031.14,-10.02
132,37.85,0.7,0.3,-99.09,39.89
133,21.85,0.7,0.3,-356.79,79.81
134,38.65,0.7,0.3,-47.45,32.94
135,36.93,0.7,0.3,-71.22,41.45
136,32.88,0.7,0.3,-121.85,52.22
137,39.25,0.7,0.3,-41.12,26.87
138,28.21,0.7,0.3,-210.17,64.92
139,52.2,0.7,0.3,-1020.94,-10.02
140,36.78,0.7,0.3,-86.58,43.32
141,40.76,0.7,0.3,-36.3,25.98
142,24.54,0.7,0.3,-269.64,74.22
143,35.65,0.7,0.3,-110.94,46.06
144,29.46,0.7,0.3,-183.11,62.78
145,39.83,0.7,0.3,-39.9,26.65
146,47.11,0.7,0.3,0,5.36
147,39.19,0.7,0.3,-43.76,32.35
148,46.12,0.7,0.3,-146.45,2.23
149,36.24,0.7,0.3,-117.23,46.73
150,42.68,0.7,0.3,-19.92,22.56
151,31.03,0.7,0.3,-121.25,52.16
152,39.07,0.7,0.3,-64.45,35.45
153,33.93,0.7,0.3,-109.9,51.03
154,41.83,0.7,0.3,-18.79,22.29
155,16.17,0.7,0.3,-441.89,89.56
156,37.47,0.7,0.3,-64.29,40.57
157,24.88,0.7,0.3,-283.84,75.17
158,40.24,0.7,0.3,-41.59,26.95
159,34.5,0.7,0.3,-112.03,46.17
160,38.21,0.7,0.3,-65.76,35.64
161,46.18,0.7,0.3,-117.93,2.57
162,43.31,0.7,0.3,-16.27,16.55
163,39.29,0.7,0.3,-43.34,32.28
164,43.19,0.7,0.3,-18.33,17.13
165,41.33,0.7,0.3,-48.54,28.16
166,38.03,0.7,0.3,-67.16,40.94
167,55.7,0.7,0.3,-1032.21,-10.26
168,27.98,0.7,0.3,-217.45,65.47
169,21.62,0.7,0.3,-289.6,80.62
170,41.01,0.7,0.3,-37.58,26.22
171,36.5,0.7,0.3,-87.75,43.46
172,51.99,0.7,0.3,-1026.08,-10.09
173,32.69,0.7,0.3,-154.32,55.28
