Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,27.65,0.7,-326.56,77.93
1,32.56,0.7,-229.13,66.35
2,28.71,0.7,-237.79,72.01
3,36.93,0.7,-206.52,59.72
4,35.4,0.7,-204.02,59.52
5,29.43,0.7,-255.48,73.25
6,28.1,0.7,-290.19,75.59
7,49.29,0.7,-38.04,26.31
8,34.51,0.7,-180.47,57.57
9,30.56,0.7,-244.01,67.45
10,37.86,0.7,-131.33,53.14
11,36.87,0.7,-191.28,58.47
12,28.75,0.7,-269.39,74.2
13,25.33,0.7,-332.44,78.3
14,31.4,0.7,-257.5,68.42
15,43.29,0.7,-73.25,41.71
16,44.12,0.7,-86.31,38.34
17,40.62,0.7,-108.48,50.88
18,21.6,0.7,-367.12,85.34
19,22.83,0.7,-333.56,83.35
20,37.9,0.7,-144.24,54.36
21,35.64,0.7,-200.36,59.22
22,16.0,0.7,-432.81,94.02
23,48.9,0.7,-40.11,26.69
24,41.77,0.7,-89.13,43.62
25,45.78,0.7,-57.27,34.42
26,25.93,0.7,-288.88,75.51
27,44.25,0.7,-80.64,37.62
28,49.57,0.7,-17.2,21.9
29,53.72,0.7,-6.51,13.27
30,37.03,0.7,-180.13,57.54
31,41.28,0.7,-70.97,41.42
32,58.61,0.7,-1031.82,-4.68
33,56.77,0.7,-1036.97,-9.42
34,39.96,0.7,-104.44,50.46
35,41.58,0.7,-85.78,43.23
36,39.46,0.7,-131.88,53.19
37,46.42,0.7,-44.1,32.41
38,44.62,0.7,-91.48,38.98
39,33.04,0.7,-215.24,65.31
40,36.7,0.7,-136.19,53.6
41,23.72,0.7,-347.35,84.18
42,38.52,0.7,-148.49,54.75
43,33.13,0.7,-234.99,66.79
44,28.55,0.7,-285.52,75.28
45,26.88,0.7,-354.82,79.69
46,32.66,0.7,-263.93,68.88
47,32.88,0.7,-157.39,60.64
48,17.43,0.7,-363.21,90.18
49,36.82,0.7,-166.64,56.37
50,47.7,0.7,-47.69,28.02
51,28.44,0.7,-263.32,73.79
52,39.52,0.7,-106.47,45.58
53,77.85,0.7,-1099.73,-10.59
54,60.9,0.7,-1047.82,-10.12
55,39.57,0.7,-113.08,51.35
56,23.25,0.7,-287.22,80.46
57,37.09,0.7,-157.79,55.59
58,24.94,0.7,-312.4,82.05
59,32.96,0.7,-253.31,68.12
60,37.7,0.7,-120.11,52.05
61,50.38,0.7,-21.83,18.06
62,30.17,0.7,-214.47,70.33
63,26.67,0.7,-286.9,75.38
64,36.48,0.7,-193.08,58.62
65,44.34,0.7,-82.08,37.81
66,25.97,0.7,-331.86,78.27
67,27.79,0.7,-297.38,76.06
68,26.47,0.7,-285.0,75.25
69,42.78,0.7,-78.84,42.4
70,27.99,0.7,-296.09,75.98
71,54.74,0.7,0,5.63
72,33.77,0.7,-167.63,61.5
73,51.29,0.7,-2.51,11.46
74,31.41,0.7,-261.59,68.71
75,33.27,0.7,-177.5,62.32
76,42.44,0.7,-73.52,41.74
77,53.81,0.7,0,5.82
78,29.17,0.7,-306.93,76.68
79,45.94,0.7,-34.35,30.77
80,37.55,0.7,-182.95,57.78
81,50.4,0.7,-25.32,18.92
82,39.15,0.7,-103.63,50.38
83,26.08,0.7,-339.74,78.76
84,41.01,0.7,-134.78,48.52
85,7.67,0.7,-501.06,97.57
86,28.26,0.7,-318.55,77.43
87,32.47,0.7,-213.42,65.17
88,34.63,0.7,-192.71,63.55
89,57.44,0.7,-1025.05,-1.31
90,37.45,0.7,-151.87,55.06
91,47.82,0.7,-42.0,27.03
92,39.48,0.7,-104.74,50.49
93,41.45,0.7,-79.75,42.51
94,42.41,0.7,-66.84,40.9
95,33.21,0.7,-219.58,65.64
96,54.43,0.7,-0.7,10.45
97,38.64,0.7,-138.63,53.83
98,28.88,0.7,-255.95,73.28
99,37.56,0.7,-165.68,56.29
100,39.64,0.7,-116.98,46.7
101,43.82,0.7,-61.46,40.19
102,36.99,0.7,-122.31,52.27
103,38.56,0.7,-125.88,52.62
104,29.66,0.7,-262.56,73.74
105,32.54,0.7,-194.41,63.68
106,51.3,0.7,-6.8,13.39
107,46.02,0.7,-31.34,30.24
108,33.98,0.7,-214.34,65.24
109,42.75,0.7,-82.05,42.78
110,38.42,0.7,-128.91,52.91
111,27.63,0.7,-261.29,73.65
112,33.48,0.7,-194.68,63.71
113,20.95,0.7,-363.08,85.11
114,38.46,0.7,-121.58,52.2
115,41.51,0.7,-101.37,45.01
116,17.54,0.7,-444.28,89.69
117,44.46,0.7,-55.4,34.15
118,34.09,0.7,-218.98,65.59
119,29.93,0.7,-233.33,71.7
120,25.71,0.7,-325.29,77.85
121,31.49,0.7,-222.51,65.86
122,38.33,0.7,-178.64,57.41
123,58.57,0.7,-1037.45,-8.64
124,43.58,0.7,-82.01,37.8
125,25.69,0.7,-294.81,80.95
126,30.31,0.7,-264.54,68.92
127,32.44,0.7,-234.16,66.73
128,38.71,0.7,-100.53,50.06
129,48.77,0.7,-36.86,26.09
130,36.38,0.7,-160.85,60.93
131,35.05,0.7,-178.29,62.39
132,37.83,0.7,-141.8,54.13
133,35.99,0.7,-175.16,57.11
134,48.99,0.7,-19.3,22.41
135,34.09,0.7,-191.3,63.44
136,40.71,0.7,-106.07,45.53
137,16.75,0.7,-423.38,88.54
138,40.88,0.7,-123.15,47.34
139,39.46,0.7,-135.35,53.52
140,31.17,0.7,-216.14,70.45
141,72.12,0.7,-1084.1,-10.16
142,36.4,0.7,-198.28,59.05
143,35.85,0.7,-175.31,57.13
144,37.15,0.7,-153.21,60.28
145,41.2,0.7,-145.66,49.58
146,51.01,0.7,-23.06,18.37
147,47.02,0.7,-36.88,26.09
148,25.09,0.7,-286.46,80.42
149,43.82,0.7,-77.1,42.19
150,27.23,0.7,-282.44,75.08
151,42.96,0.7,-60.87,34.95
152,41.75,0.7,-140.15,49.05
153,51.71,0.7,-3.24,11.83
154,59.37,0.7,-1034.15,-6.49
155,39.52,0.7,-118.32,46.84
156,4.44,0.7,-537.37,99.38
157,45.68,0.7,-61.12,34.98
158,38.86,0.7,-127.11,47.75
159,41.63,0.7,-110.11,45.97
160,25.9,0.7,-349.15,79.34
161,50.06,0.7,-21.24,22.86
162,21.44,0.7,-381.78,86.19
163,33.05,0.7,-222.16,65.83
164,47.79,0.7,-37.57,26.22
165,28.59,0.7,-241.35,72.27
166,43.79,0.7,-48.73,33.14
167,43.38,0.7,-84.8,43.11
168,53.7,0.7,0,6.62
169,52.51,0.7,-6.68,13.34
170,66.53,0.7,-1067.18,-10.22
171,39.2,0.7,-116.51,51.69
172,21.01,0.7,-365.47,85.25
173,14.38,0.7,-436.72,94.23
