Episode,Kick_Speed,friction,Rewards,Stop_Distance
10,56.79,0.7,-1031.04,-4.29
20,68.34,0.7,-1072.02,-10.06
32,56.03,0.7,-529.42,0.23
40,55.61,0.7,-1025.99,-2.42
43,65.71,0.7,-1064.11,-10.58
109,55.48,0.7,-1027.55,-2.68
112,60.4,0.7,-1048.67,-10.12
114,54.75,0.7,-1025.42,-2.46
125,55.51,0.7,-102.47,2.79
190,55.16,0.7,-1023.34,-0.49
211,53.17,0.7,-1021.32,-0.34
257,54.04,0.7,-218.54,1.61
263,60.01,0.7,-1057.77,-10.48
273,57.29,0.7,-1035.66,-7.19
278,63.6,0.7,-1066.72,-10.28
305,73.33,0.7,-1090.87,-10.04
307,68.39,0.7,-1079.63,-10.24
312,56.63,0.7,-1043.66,-10.04
325,59.01,0.7,-1049.28,-10.05
327,57.62,0.7,-1048.3,-10.35
333,57.17,0.7,-1043.99,-10.15
335,54.52,0.7,-1036.37,-8.46
345,64.73,0.7,-1067.06,-10.1
347,54.63,0.7,-1032.06,-6.04
354,58.86,0.7,-1051.48,-10.16
367,65.83,0.7,-1074.7,-10.51
368,55.4,0.7,-1038.98,-10.0
406,50.47,0.7,-25.52,4.95
417,55.31,0.7,-1034.52,-7.02
429,57.68,0.7,-1047.78,-10.31
432,60.28,0.7,-1054.91,-10.26
438,52.0,0.7,-1022.15,-0.28
442,54.85,0.7,-1037.53,-10.08
444,62.46,0.7,-1061.23,-10.05
477,53.76,0.7,-1045.38,-10.24
481,56.14,0.7,-1050.4,-10.26
484,60.47,0.7,-1054.94,-10.06
486,54.15,0.7,-1038.08,-10.07
494,58.27,0.7,-1049.84,-10.19
496,51.25,0.7,-408.71,0.63
506,62.15,0.7,-1066.84,-10.46
509,53.82,0.7,-1035.87,-9.46
512,64.39,0.7,-1070.5,-10.36
520,68.29,0.7,-1083.67,-10.43
530,57.78,0.7,-1045.53,-10.05
535,70.17,0.7,-1082.93,-10.41
538,50.15,0.7,-29.41,4.73
545,58.68,0.7,-1046.77,-10.16
555,60.8,0.7,-1057.1,-10.07
556,52.73,0.7,-1026.29,-2.76
562,50.29,0.7,-180.11,1.91
578,53.25,0.7,-1032.04,-6.89
583,49.66,0.7,-87.69,3.03
584,61.26,0.7,-1060.23,-10.18
585,56.56,0.7,-1044.73,-10.29
590,53.26,0.7,-1033.49,-8.43
591,54.44,0.7,-1043.11,-10.21
593,61.92,0.7,-1063.21,-10.09
601,56.07,0.7,-1043.94,-10.17
602,56.29,0.7,-1041.11,-10.09
612,52.45,0.7,-1029.49,-6.48
619,59.11,0.7,-1058.4,-10.13
620,57.96,0.7,-1056.72,-10.09
626,52.27,0.7,-1025.95,-2.89
633,56.28,0.7,-1046.94,-10.24
634,56.3,0.7,-1047.71,-10.02
635,51.73,0.7,-1029.77,-5.71
641,52.7,0.7,-1039.12,-10.08
645,60.45,0.7,-1067.35,-10.61
650,51.28,0.7,-148.64,2.21
652,50.4,0.7,-1027.12,-2.94
661,57.57,0.7,-1056.9,-10.47
668,49.84,0.7,-1029.9,-5.62
670,53.97,0.7,-1045.29,-10.06
674,52.41,0.7,-1040.82,-10.16
683,51.48,0.7,-1029.05,-5.74
688,48.72,0.7,-1020.04,-0.37
690,56.96,0.7,-1052.24,-10.15
694,60.74,0.7,-1058.24,-10.34
695,66.49,0.7,-1082.42,-10.34
702,59.7,0.7,-1061.19,-10.37
703,53.25,0.7,-1044.9,-10.02
711,56.49,0.7,-1050.1,-10.27
713,54.51,0.7,-1040.13,-10.16
714,54.96,0.7,-1043.53,-10.25
721,52.89,0.7,-1039.81,-10.23
724,52.88,0.7,-1042.17,-10.27
725,64.53,0.7,-1079.05,-10.05
736,55.16,0.7,-1043.0,-10.31
745,52.19,0.7,-1037.73,-10.04
746,50.22,0.7,-1022.38,-1.09
747,51.83,0.7,-1032.68,-9.01
754,54.82,0.7,-1047.25,-10.0
757,54.1,0.7,-1044.38,-10.15
758,54.29,0.7,-1042.44,-10.18
764,49.4,0.7,-1022.63,-1.07
767,48.96,0.7,-519.58,0.26
770,53.87,0.7,-1038.51,-10.05
776,58.36,0.7,-1056.19,-10.18
778,48.84,0.7,-1022.53,-1.59
779,51.52,0.7,-1035.56,-10.06
781,53.84,0.7,-1046.05,-10.01
782,53.27,0.7,-1040.14,-10.14
790,50.86,0.7,-1030.38,-7.4
797,54.72,0.7,-1048.01,-10.39
807,47.92,0.7,-1023.86,-2.04
819,54.67,0.7,-1042.2,-10.15
827,54.75,0.7,-1047.39,-10.19
