Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
0,30.64,0.7,0.3,-227.06,61.2
1,44.44,0.7,0.3,-21.69,17.96
2,27.45,0.7,0.3,-252.69,68.06
3,27.25,0.7,0.3,-245.62,67.57
4,42.0,0.7,0.3,-30.25,25.04
5,48.61,0.7,0.3,-4.91,-0.48
6,29.39,0.7,0.3,-219.9,65.73
7,52.32,0.7,0.3,-2225.66,-10.01
8,56.46,0.7,0.3,-2340.35,-10.09
9,39.06,0.7,0.3,-73.53,31.69
10,36.24,0.7,0.3,-112.37,46.28
11,33.3,0.7,0.3,-189.85,53.36
12,41.53,0.7,0.3,-46.03,27.71
13,41.09,0.7,0.3,-33.08,25.55
14,45.73,0.7,0.3,-7.78,8.77
15,40.3,0.7,0.3,-65.1,30.54
16,41.71,0.7,0.3,-38.1,26.42
17,34.19,0.7,0.3,-132.93,48.29
18,49.86,0.7,0.3,-2226.07,-10.01
19,52.87,0.7,0.3,-2297.07,-10.06
20,36.21,0.7,0.3,-137.03,43.74
21,37.25,0.7,0.3,-107.39,40.68
22,44.54,0.7,0.3,-14.02,16.1
23,35.15,0.7,0.3,-136.24,43.66
24,23.36,0.7,0.3,-322.6,77.68
25,51.92,0.7,0.3,-2413.04,-10.13
26,40.73,0.7,0.3,-56.72,29.34
27,8.68,0.7,0.3,-455.09,95.26
28,51.78,0.7,0.3,-2251.35,-10.03
29,56.85,0.7,0.3,-2266.23,-10.04
30,34.42,0.7,0.3,-118.96,46.94
31,37.56,0.7,0.3,-112.52,41.23
32,62.61,0.7,0.3,-2856.59,-10.4
33,30.16,0.7,0.3,-261.07,63.68
34,51.61,0.7,0.3,-2245.92,-10.02
35,50.21,0.7,0.3,-608.3,-7.99
36,28.75,0.7,0.3,-213.43,65.25
37,42.42,0.7,0.3,-48.44,23.14
38,41.32,0.7,0.3,-43.48,27.31
39,20.85,0.7,0.3,-386.45,81.46
40,41.37,0.7,0.3,-43.24,27.27
41,43.96,0.7,0.3,-18.79,17.29
42,16.21,0.7,0.3,-428.86,88.81
43,54.18,0.7,0.3,-2252.11,-10.03
44,59.99,0.7,0.3,-2402.67,-10.13
45,34.49,0.7,0.3,-133.85,48.38
46,30.26,0.7,0.3,-225.51,61.08
47,37.78,0.7,0.3,-100.77,39.95
48,16.14,0.7,0.3,-417.5,88.2
49,40.56,0.7,0.3,-47.08,27.88
50,51.61,0.7,0.3,-2524.18,-10.2
51,64.4,0.7,0.3,-3035.95,-10.49
52,39.77,0.7,0.3,-81.28,32.7
53,37.4,0.7,0.3,-123.59,42.39
54,42.81,0.7,0.3,-12.34,15.65
55,33.54,0.7,0.3,-172.99,51.93
56,34.43,0.7,0.3,-147.63,49.67
57,35.17,0.7,0.3,-134.41,48.44
58,40.79,0.7,0.3,-50.38,28.39
59,48.66,0.7,0.3,-2245.12,-10.02
60,43.65,0.7,0.3,-11.67,15.47
61,55.98,0.7,0.3,-2410.6,-10.13
62,50.55,0.7,0.3,-2280.68,-10.05
63,40.75,0.7,0.3,-51.98,28.64
64,20.53,0.7,0.3,-384.63,81.36
65,35.89,0.7,0.3,-102.21,45.23
66,21.6,0.7,0.3,-376.26,80.88
67,37.14,0.7,0.3,-97.54,39.58
68,36.55,0.7,0.3,-123.89,42.42
69,49.18,0.7,0.3,-2253.74,-10.03
70,26.03,0.7,0.3,-334.56,73.44
71,48.42,0.7,0.3,-32.11,-3.4
72,33.28,0.7,0.3,-176.28,52.21
73,19.52,0.7,0.3,-395.32,81.97
74,9.73,0.7,0.3,-453.81,95.2
75,24.96,0.7,0.3,-318.54,72.43
76,9.95,0.7,0.3,-468.61,95.95
77,47.35,0.7,0.3,-43.09,-3.86
78,23.27,0.7,0.3,-326.35,77.91
79,46.92,0.7,0.3,0,4.82
80,39.97,0.7,0.3,-44.86,27.53
81,44.18,0.7,0.3,-28.19,14.59
82,27.61,0.7,0.3,-218.55,65.63
83,45.55,0.7,0.3,-0.05,5.03
84,34.34,0.7,0.3,-148.19,49.72
85,31.13,0.7,0.3,-183.74,57.83
86,34.91,0.7,0.3,-139.34,43.97
