Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,27.49,0.9,-281.07,80.07
1,36.35,0.9,-190.46,63.37
2,30.98,0.9,-302.92,76.42
3,44.88,0.9,-142.58,54.2
4,39.54,0.9,-161.63,61.0
5,35.97,0.9,-255.0,68.24
6,56.53,0.9,-11.99,20.56
7,56.46,0.9,-15.58,21.5
8,43.16,0.9,-130.74,53.09
9,20.54,0.9,-362.02,90.12
10,28.38,0.9,-280.92,80.06
11,20.77,0.9,-424.67,88.62
12,37.6,0.9,-191.11,63.42
13,32.07,0.9,-294.58,75.88
14,41.18,0.9,-154.35,55.28
15,23.1,0.9,-340.99,83.8
16,42.4,0.9,-170.65,56.72
17,39.97,0.9,-206.91,59.75
18,44.87,0.9,-138.99,48.94
19,33.86,0.9,-232.64,71.65
20,45.54,0.9,-119.68,46.98
21,42.31,0.9,-206.09,59.69
22,49.54,0.9,-90.27,38.83
23,33.94,0.9,-230.25,66.44
24,20.33,0.9,-446.91,89.83
25,27.16,0.9,-282.63,80.17
26,55.24,0.9,-25.9,23.89
27,35.18,0.9,-236.35,71.91
28,26.8,0.9,-350.63,79.43
29,30.12,0.9,-329.38,78.11
30,52.83,0.9,-26.29,23.98
31,17.47,0.9,-392.74,91.84
32,28.91,0.9,-349.91,79.39
33,41.52,0.9,-155.7,55.4
34,31.43,0.9,-290.1,75.59
35,43.59,0.9,-158.57,55.66
36,42.4,0.9,-207.3,59.78
37,48.61,0.9,-96.25,39.55
38,20.88,0.9,-387.74,86.54
39,14.03,0.9,-450.58,94.96
40,47.74,0.9,-129.55,48.0
41,28.46,0.9,-283.02,80.19
42,40.44,0.9,-169.18,61.63
43,51.89,0.9,-47.11,32.88
44,48.64,0.9,-82.35,37.84
45,37.29,0.9,-259.99,68.6
46,36.82,0.9,-186.53,63.06
47,40.17,0.9,-150.82,54.96
48,32.13,0.9,-230.29,71.48
49,41.72,0.9,-152.62,60.23
50,49.66,0.9,-86.72,38.39
51,34.96,0.9,-236.83,71.95
52,53.75,0.9,-44.63,27.49
53,26.78,0.9,-334.79,83.42
54,32.12,0.9,-290.4,75.61
55,53.25,0.9,-52.81,28.86
56,27.12,0.9,-298.91,81.21
57,46.03,0.9,-101.66,50.17
58,24.65,0.9,-338.73,83.66
59,39.75,0.9,-158.38,60.72
60,49.57,0.9,-72.33,36.53
61,42.2,0.9,-153.46,60.3
62,53.78,0.9,-55.12,29.24
63,36.39,0.9,-226.07,66.13
64,40.17,0.9,-175.33,62.14
65,55.4,0.9,-31.74,25.1
66,39.04,0.9,-165.05,61.29
67,39.15,0.9,-201.18,64.22
68,52.76,0.9,-46.84,32.84
69,46.23,0.9,-127.93,47.83
70,37.19,0.9,-175.73,62.18
71,50.95,0.9,-79.9,37.53
72,31.34,0.9,-289.15,75.52
73,29.73,0.9,-349.19,79.34
74,60.7,0.9,0,9.46
75,32.58,0.9,-233.3,71.69
76,53.95,0.9,-38.24,26.34
77,36.89,0.9,-226.87,66.19
78,10.34,0.9,-501.95,97.61
79,42.25,0.9,-155.46,55.38
80,27.45,0.9,-287.44,80.48
81,29.81,0.9,-329.64,78.13
82,51.79,0.9,-60.86,34.94
83,29.7,0.9,-323.28,77.73
84,37.04,0.9,-205.1,64.52
85,47.87,0.9,-97.62,44.59
86,29.66,0.9,-352.74,79.56
87,51.8,0.9,-45.2,27.59
88,52.88,0.9,-55.66,29.32
89,39.68,0.9,-182.02,57.7
90,46.1,0.9,-108.76,45.82
91,20.67,0.9,-360.02,90.0
92,52.88,0.9,-37.34,26.18
93,52.16,0.9,-48.52,33.1
94,48.95,0.9,-73.41,36.68
95,48.84,0.9,-43.02,32.23
96,49.39,0.9,-70.67,36.31
97,20.84,0.9,-433.88,89.12
98,56.45,0.9,-9.27,14.31
99,32.79,0.9,-236.64,71.93
100,43.28,0.9,-146.18,49.63
101,38.39,0.9,-186.94,63.09
102,56.61,0.9,-14.73,16.1
103,46.87,0.9,-93.99,39.28
104,33.14,0.9,-265.19,73.92
105,42.93,0.9,-153.71,55.22
106,23.35,0.9,-363.77,85.15
107,36.25,0.9,-212.76,65.12
108,39.42,0.9,-173.13,61.96
109,30.66,0.9,-252.04,73.01
110,23.96,0.9,-341.04,83.8
111,67.39,0.9,-1042.58,-10.0
112,34.65,0.9,-226.25,71.19
113,27.68,0.9,-357.76,79.86
114,33.68,0.9,-258.46,73.46
115,40.64,0.9,-183.24,57.8
116,51.91,0.9,-46.63,32.81
117,53.74,0.9,-10.51,20.14
118,43.7,0.9,-131.38,53.15
119,35.87,0.9,-208.06,64.75
120,31.16,0.9,-302.47,76.4
121,31.06,0.9,-298.36,76.13
122,51.7,0.9,-59.58,29.94
123,40.25,0.9,-192.96,58.61
124,49.46,0.9,-70.35,36.27
125,33.85,0.9,-268.11,74.12
126,55.91,0.9,-11.43,20.4
127,37.93,0.9,-213.66,65.19
128,40.77,0.9,-184.25,57.89
129,25.14,0.9,-353.09,84.52
130,42.25,0.9,-150.13,54.9
131,46.78,0.9,-99.93,44.85
132,29.53,0.9,-318.75,77.44
133,42.71,0.9,-108.41,50.87
134,56.04,0.9,-21.2,22.85
135,22.03,0.9,-409.85,87.79
136,47.85,0.9,-91.78,43.93
137,42.91,0.9,-133.91,53.39
138,28.76,0.9,-291.65,75.69
139,54.76,0.9,-51.61,28.67
140,25.47,0.9,-335.41,83.46
141,28.56,0.9,-355.97,84.69
142,28.1,0.9,-302.9,81.46
143,18.19,0.9,-384.75,91.4
144,34.29,0.9,-270.52,69.34
145,46.72,0.9,-80.05,42.54
146,27.07,0.9,-310.28,81.92
147,37.0,0.9,-153.54,60.31
148,49.53,0.9,-36.67,31.17
149,30.57,0.9,-270.24,74.26
