Episode,Kick_Speed,friction,Rewards,Stop_Distance
111,67.39,0.9,-1042.58,-10.0
227,68.82,0.9,-1054.33,-10.09
265,81.44,0.9,-1095.6,-10.62
323,68.46,0.9,-1055.98,-10.32
429,71.23,0.9,-1070.38,-10.53
431,63.0,0.9,-1045.18,-10.15
437,65.65,0.9,-1050.72,-10.24
461,61.96,0.9,-1040.06,-8.99
528,72.95,0.9,-1081.74,-10.2
530,67.43,0.9,-1072.27,-10.05
779,54.43,0.9,-1024.26,-1.31
783,62.12,0.9,-1041.41,-10.12
787,69.49,0.9,-1055.34,-10.34
801,53.58,0.9,-1024.09,-0.74
807,60.37,0.9,-1042.07,-10.2
832,55.68,0.9,-1027.93,-2.67
846,64.88,0.9,-1051.04,-10.03
847,56.21,0.9,-1035.12,-7.57
853,58.39,0.9,-1024.8,-1.34
871,71.35,0.9,-1027.44,-2.15
929,54.41,0.9,-1024.94,-1.67
2042,56.91,0.9,-1023.0,-6.55
2043,43.65,0.9,-1032.2,-10.04
2045,42.84,0.9,-1033.85,-10.2
2049,56.19,0.9,-1035.23,-10.1
2050,39.6,0.9,-1027.65,-10.11
2052,61.32,0.9,-1039.15,-10.25
2054,43.54,0.9,-1038.29,-10.3
2056,40.44,0.9,-1032.35,-10.09
2057,48.64,0.9,-1032.52,-10.07
2058,37.93,0.9,-1018.48,-1.66
2065,50.23,0.9,-1024.85,-8.59
2123,43.26,0.9,-1015.23,-0.91
2129,48.0,0.9,-1016.9,-1.92
2134,45.15,0.9,-1014.69,-0.29
2135,51.21,0.9,-1018.06,-2.31
2377,69.72,0.9,-1021.49,-10.04
2573,45.99,0.9,-1011.28,-1.1
2574,48.19,0.9,-1011.77,-1.98
2576,32.88,0.9,-1015.38,-6.88
2577,52.61,0.9,-1014.88,-6.21
2578,25.77,0.9,-1010.62,-0.2
2579,40.18,0.9,-1016.77,-9.09
2580,37.58,0.9,-1016.0,-7.49
2581,27.27,0.9,-1016.91,-9.18
